ID - RESPO,tank,Date time,ID - OTHER,tank,Date time
A05_1_MONO,TANK1,,A05_2_MONO,TANK1,
A06_1_MONO,TANK1,,A06_2_MONO,TANK1,
A07_1_MONO,TANK1,,A07_2_MONO,TANK1,
A08_1_MONO,TANK1,,A08_2_MONO,TANK1,
B01_1_MONO,TANK10,,A05_3_MONO,TANK1,
B02_1_MONO,TANK10,,A06_3_MONO,TANK1,
B03_1_MONO,TANK10,,A07_3_MONO,TANK1,
B04_1_MONO,TANK10,,A08_3_MONO,TANK1,
B13_1_FAKE,TANK11,,A05_4_MONO,TANK1,
B14_1_FAKE,TANK11,,A06_4_MONO,TANK1,
B15_1_FAKE,TANK11,,A07_4_MONO,TANK1,
B16_1_FAKE,TANK11,,A08_4_MONO,TANK1,
A01_1_FAKE,TANK12,,A05_5_MONO,TANK1,
A02_1_FAKE,TANK12,,A06_5_MONO,TANK1,
A03_1_FAKE,TANK12,,A07_5_MONO,TANK1,
A04_1_FAKE,TANK12,,A08_5_MONO,TANK1,
A13_1_6SP,TANK13,,A05_6_MONO,TANK1,
A14_1_6SP,TANK13,,A06_6_MONO,TANK1,
A15_1_6SP,TANK13,,A07_6_MONO,TANK1,
A16_1_6SP,TANK13,,A08_6_MONO,TANK1,
B13_1_6SP,TANK13,,B01_2_MONO,TANK10,
B14_1_6SP,TANK13,,B02_2_MONO,TANK10,
B15_1_6SP,TANK13,,B03_2_MONO,TANK10,
B16_1_6SP,TANK13,,B04_2_MONO,TANK10,
B13_1_MONO,TANK14,,B01_3_MONO,TANK10,
B14_1_MONO,TANK14,,B02_3_MONO,TANK10,
B15_1_MONO,TANK14,,B03_3_MONO,TANK10,
B16_1_MONO,TANK14,,B04_3_MONO,TANK10,
B09_1_FAKE,TANK15,,B01_4_MONO,TANK10,
B10_1_FAKE,TANK15,,B02_4_MONO,TANK10,
B11_1_FAKE,TANK15,,B03_4_MONO,TANK10,
B12_1_FAKE,TANK15,,B04_4_MONO,TANK10,
A05_1_6SP,TANK16,,B01_5_MONO,TANK10,
A06_1_6SP,TANK16,,B02_5_MONO,TANK10,
A07_1_6SP,TANK16,,B03_5_MONO,TANK10,
A08_1_6SP,TANK16,,B04_5_MONO,TANK10,
B05_1_6SP,TANK16,,B01_6_MONO,TANK10,
B06_1_6SP,TANK16,,B02_6_MONO,TANK10,
B07_1_6SP,TANK16,,B03_6_MONO,TANK10,
B08_1_6SP,TANK16,,B04_6_MONO,TANK10,
B01_1_FAKE,TANK17,,B13_2_MONO,TANK11,
B02_1_FAKE,TANK17,,B14_2_MONO,TANK11,
B03_1_FAKE,TANK17,,B15_2_MONO,TANK11,
B04_1_FAKE,TANK17,,B16_2_MONO,TANK11,
A13_1_MONO,TANK18,,B13_3_MONO,TANK11,
A14_1_MONO,TANK18,,B14_3_MONO,TANK11,
A15_1_MONO,TANK18,,B15_3_MONO,TANK11,
A16_1_MONO,TANK18,,B16_3_MONO,TANK11,
A13_1_3SP,TANK19,,B13_4_MONO,TANK11,
A14_1_3SP,TANK19,,B14_4_MONO,TANK11,
A15_1_3SP,TANK19,,B15_4_MONO,TANK11,
A16_1_3SP,TANK19,,B16_4_MONO,TANK11,
B13_1_3SP,TANK19,,B13_5_MONO,TANK11,
B14_1_3SP,TANK19,,B14_5_MONO,TANK11,
B15_1_3SP,TANK19,,B15_5_MONO,TANK11,
B16_1_3SP,TANK19,,B16_5_MONO,TANK11,
A01_1_6SP,TANK2,,B13_6_MONO,TANK11,
A02_1_6SP,TANK2,,B14_6_MONO,TANK11,
A03_1_6SP,TANK2,,B15_6_MONO,TANK11,
A04_1_6SP,TANK2,,B16_6_MONO,TANK11,
B01_1_6SP,TANK2,,C13_1_6SP,TANK13,
B02_1_6SP,TANK2,,C14_1_6SP,TANK13,
B03_1_6SP,TANK2,,C15_1_6SP,TANK13,
B04_1_6SP,TANK2,,C16_1_6SP,TANK13,
A01_1_MONO,TANK20,,D13_1_6SP,TANK13,
A02_1_MONO,TANK20,,D14_1_6SP,TANK13,
A03_1_MONO,TANK20,,D15_1_6SP,TANK13,
A04_1_MONO,TANK20,,D16_1_6SP,TANK13,
B05_1_MONO,TANK21,,E13_1_6SP,TANK13,
B06_1_MONO,TANK21,,E14_1_6SP,TANK13,
B07_1_MONO,TANK21,,E15_1_6SP,TANK13,
B08_1_MONO,TANK21,,E16_1_6SP,TANK13,
A09_1_FAKE,TANK22,,F13_1_6SP,TANK13,
A10_1_FAKE,TANK22,,F14_1_6SP,TANK13,
A11_1_FAKE,TANK22,,F15_1_6SP,TANK13,
A12_1_FAKE,TANK22,,F16_1_6SP,TANK13,
A05_1_3SP,TANK23,,C05_1_6SP,TANK16,
A06_1_3SP,TANK23,,C06_1_6SP,TANK16,
A07_1_3SP,TANK23,,C07_1_6SP,TANK16,
A08_1_3SP,TANK23,,C08_1_6SP,TANK16,
B05_1_3SP,TANK23,,D05_1_6SP,TANK16,
B06_1_3SP,TANK23,,D06_1_6SP,TANK16,
B07_1_3SP,TANK23,,D07_1_6SP,TANK16,
B08_1_3SP,TANK23,,D08_1_6SP,TANK16,
A09_1_6SP,TANK24,,E05_1_6SP,TANK16,
A10_1_6SP,TANK24,,E06_1_6SP,TANK16,
A11_1_6SP,TANK24,,E07_1_6SP,TANK16,
A12_1_6SP,TANK24,,E08_1_6SP,TANK16,
B09_1_6SP,TANK24,,F05_1_6SP,TANK16,
B10_1_6SP,TANK24,,F06_1_6SP,TANK16,
B11_1_6SP,TANK24,,F07_1_6SP,TANK16,
B12_1_6SP,TANK24,,F08_1_6SP,TANK16,
B09_1_MONO,TANK3,,A13_2_MONO,TANK18,
B10_1_MONO,TANK3,,A14_2_MONO,TANK18,
B11_1_MONO,TANK3,,A15_2_MONO,TANK18,
B12_1_MONO,TANK3,,A16_2_MONO,TANK18,
A13_1_FAKE,TANK4,,A13_3_MONO,TANK18,
A14_1_FAKE,TANK4,,A14_3_MONO,TANK18,
A15_1_FAKE,TANK4,,A15_3_MONO,TANK18,
A16_1_FAKE,TANK4,,A16_3_MONO,TANK18,
A09_1_3SP,TANK5,,A13_4_MONO,TANK18,
A10_1_3SP,TANK5,,A14_4_MONO,TANK18,
A11_1_3SP,TANK5,,A15_4_MONO,TANK18,
A12_1_3SP,TANK5,,A16_4_MONO,TANK18,
B09_1_3SP,TANK5,,A13_5_MONO,TANK18,
B10_1_3SP,TANK5,,A14_5_MONO,TANK18,
B11_1_3SP,TANK5,,A15_5_MONO,TANK18,
B12_1_3SP,TANK5,,A16_5_MONO,TANK18,
A09_1_MONO,TANK6,,A13_6_MONO,TANK18,
A10_1_MONO,TANK6,,A14_6_MONO,TANK18,
A11_1_MONO,TANK6,,A15_6_MONO,TANK18,
A12_1_MONO,TANK6,,A16_6_MONO,TANK18,
A05_1_FAKE,TANK7,,C13_1_3SP,TANK19,
A06_1_FAKE,TANK7,,C14_1_3SP,TANK19,
A07_1_FAKE,TANK7,,C15_1_3SP,TANK19,
A08_1_FAKE,TANK7,,C16_1_3SP,TANK19,
B05_1_FAKE,TANK8,,A13_2_3SP,TANK19,
B06_1_FAKE,TANK8,,A14_2_3SP,TANK19,
B07_1_FAKE,TANK8,,A15_2_3SP,TANK19,
B08_1_FAKE,TANK8,,A16_2_3SP,TANK19,
A01_1_3SP,TANK9,,B13_2_3SP,TANK19,
A02_1_3SP,TANK9,,B14_2_3SP,TANK19,
A03_1_3SP,TANK9,,B15_2_3SP,TANK19,
A04_1_3SP,TANK9,,B16_2_3SP,TANK19,
B01_1_3SP,TANK9,,C13_2_3SP,TANK19,
B02_1_3SP,TANK9,,C14_2_3SP,TANK19,
B03_1_3SP,TANK9,,C15_2_3SP,TANK19,
B04_1_3SP,TANK9,,C16_2_3SP,TANK19,
,,,C01_1_6SP,TANK2,
,,,C02_1_6SP,TANK2,
,,,C03_1_6SP,TANK2,
,,,C04_1_6SP,TANK2,
,,,D01_1_6SP,TANK2,
,,,D02_1_6SP,TANK2,
,,,D03_1_6SP,TANK2,
,,,D04_1_6SP,TANK2,
,,,E01_1_6SP,TANK2,
,,,E02_1_6SP,TANK2,
,,,E03_1_6SP,TANK2,
,,,E04_1_6SP,TANK2,
,,,F01_1_6SP,TANK2,
