chunk,model,closed,surface_area_mm2,volume_mm3
02,B07_1_3SP,False,5010.093181768873,NA
02,B08_1_3SP,False,201047.75268976623,NA
02,B05_1_MONO,False,201047.75268976623,NA
02,B11_1_FAKE,False,201047.75268976623,NA
02,B04_1_MONO,False,201047.75268976623,NA
02,A09_1_MONO,False,3058.4269063460583,NA
02,A06_1_MONO,False,3725.9841031218716,NA
02,A10_1_6SP,False,2827.5285776638098,NA
02,A16_1_6SP,False,4378.438813652484,NA
02,A03_1_3SP,False,2667.5427418963477,NA
02,Copy of B07_1_3SP,True,5452.854465567067,13672.956498529607
02,Copy of A09_1_MONO,True,3237.3834626298794,10051.85524754915
02,Copy of A06_1_MONO,True,3953.692344855238,10708.519055509187
02,Copy of A10_1_6SP,True,3067.209785814343,8895.81348324766
02,Copy of A16_1_6SP,True,4860.508809668051,14970.073015984835
02,Copy of A03_1_3SP,True,2872.7709394951894,7609.551003302096
07,A06_1_MONO,False,3718.329041064077,NA
07,Copy of A06_1_MONO,True,3954.6263506831865,10714.192113187424
08,Buckup,False,159824.375769951,NA
08,A04_1_3SP,False,4320.8950382717285,NA
08,A09_1_6SP,False,4662.823832514501,NA
08,A15_1_MONO,False,3964.666058395004,NA
08,A04_1_6SP,False,3722.874962858981,NA
08,A04_1_FAKE,False,4029.9289513801573,NA
08,Copy of A04_1_3SP,True,4548.327592073799,12859.180370708009
08,Copy of A09_1_6SP,True,4922.386143959577,15417.997239347153
08,Copy of A15_1_MONO,True,4243.751308832228,11953.619923179802
08,Copy of A04_1_6SP,True,3978.4069741323315,10248.038648482694
08,Copy of A04_1_FAKE,True,4306.772796776839,11338.279609186955
19,A07_1_6SP,False,4763.485984472482,NA
19,A16_1_FAKE,False,3371.5906267624505,NA
19,A05_1_3SP,False,5135.251691978018,NA
19,A05_1_MONO,False,4316.893267658636,NA
19,A13_1_3SP,False,2564.8470274026063,NA
19,A08_1_MONO,False,2672.0626957550858,NA
19,Copy of A07_1_6SP,True,5066.142973612015,13281.252216526715
19,Copy of A16_1_FAKE,True,3696.4642314768566,11819.2089522837
19,Copy of A05_1_3SP,True,5438.783326470824,18224.516402525485
19,Copy of A05_1_MONO,True,4563.833846891617,12426.758685727762
19,Copy of A13_1_3SP,True,2948.9791027231895,9910.954091044376
19,Copy of A08_1_MONO,True,3095.2962673035377,8735.429220011409
20,A12_1_3SP,False,2631.1488043695226,NA
20,A01_1_FAKE,False,2109.992936110727,NA
20,Copy of A12_1_3SP,True,2796.407289096678,6508.229804319014
20,Copy of A01_1_FAKE,True,2265.6515840679426,5558.718814108793
26,A11_1_FAKE,False,3063.4244410466463,NA
26,A11_1_3SP,False,3051.0866815904114,NA
