chunk,model,closed,surface_area_mm2,volume_mm3
R01_A,A16_1_6SP,True,5638.587766108905,19422.392997546332
R01_A,backup,False,241755.88261452675,NA
R01_A,A06_1_MONO,False,4134.405080669887,NA
R01_A,A03_1_3SP,False,2959.21971045962,NA
R01_A,A10_1_6SP,False,3233.124366155449,NA
R01_A,A09_1_FAKE,False,4973.171804739744,NA
R01_A,,False,241755.88261452675,NA
R01_A,,False,241755.88261452675,NA
R01_A,,False,241755.88261452675,NA
R01_A,Copy of A16_1_6SP,True,5638.587766108905,19422.392997546332
R01_A,Copy of A06_1_MONO,True,4404.457134365604,12105.88641237694
R01_A,Copy of A03_1_3SP,True,3198.5600589658907,8802.119500496543
R01_A,Copy of A10_1_6SP,True,3585.7877905663877,11045.791413929897
R01_A,Copy of A09_1_FAKE,True,5444.888284225162,24949.309768388484
R02_A,Backup,False,145845.27908730786,NA
R02_A,A04_1_FAKE,False,4767.7946471617215,NA
R02_A,A04_1_3SP,False,4779.747379788856,NA
R02_A,A09_1_6SP,False,5261.414954641003,NA
R02_A,A15_1_MONO,False,4497.446038469723,NA
R02_A,A04_1_6SP,False,4152.1106948740335,NA
R02_A,,False,145845.27908730786,NA
R02_A,,False,145845.27908730786,NA
R02_A,,False,145845.27908730786,NA
R02_A,Copy of A04_1_FAKE,True,5028.318722448927,14954.305482878355
R02_A,Copy of A09_1_6SP,True,5591.100154030628,18227.18948333943
R02_A,Copy of A04_1_3SP,True,5044.701932509552,15045.839856930774
R02_A,Copy of A15_1_MONO,True,4809.144357628063,13983.45065753925
R02_A,Copy of A04_1_6SP,True,4431.811821256935,12019.39397626133
R03_A,Backup,False,160774.35639779174,NA
R03_A,A10_1_3SP,False,3527.4809853564216,NA
R03_A,A11_1_6SP,False,5777.673804594052,NA
R03_A,A12_1_6SP,False,2908.0022618067837,NA
R03_A,A15_1_FAKE,False,3843.8285931713476,NA
R03_A,A19_1_3SP,False,3094.7558048596534,NA
R03_A,,False,160774.35639779174,NA
R03_A,,False,160774.35639779174,NA
R03_A,,False,160774.35639779174,NA
R03_A,Copy of A10_1_3SP,True,3864.040627810688,12660.443619550284
R03_A,Copy of A11_1_6SP,True,6152.132025729159,17940.000211559833
R03_A,Copy of A12_1_6SP,True,3102.892545271862,8872.388155876932
R03_A,Copy of A15_1_FAKE,True,4087.549859181068,11165.995586344941
R03_A,Copy of A19_1_3SP,True,3351.4981897117314,9867.44249768949
R04_A,A05_1_MONO,False,4635.5014014616645,NA
R04_A,Backup,False,176484.17691073532,NA
R04_A,A05_1_3SP,False,5737.782633395357,NA
R04_A,A16_1_FAKE,False,3895.0330308132234,NA
R04_A,A08_1_MONO,False,2923.5862779788963,NA
R04_A,A17_1_3SP,False,1966.62706818779,NA
R04_A,,False,176484.17691073532,NA
R04_A,,False,176484.17691073532,NA
R04_A,,False,176484.17691073532,NA
R04_A,Copy of A05_1_MONO,True,4899.169073308852,13628.298081072331
R04_A,Copy of A05_1_3SP,True,6113.01300682987,21076.982466590667
R04_A,Copy of A16_1_FAKE,True,4273.186778699652,13952.980735581368
R04_A,Copy of A08_1_MONO,True,3318.8902485012086,10093.856747638285
R04_A,Copy of A17_1_3SP,True,2362.1797445881643,5377.203928198392
R05_A,Backup,False,141435.63827693724,NA
R05_A,A01_1_FAKE,False,2307.9856467776617,NA
R05_A,A12_1_3SP,False,2892.810900375218,NA
R05_A,,False,141435.63827693724,NA
R05_A,,False,141435.63827693724,NA
R05_A,,False,141435.63827693724,NA
R05_A,,False,141435.63827693724,NA
R05_A,,False,141435.63827693724,NA
R05_A,,False,141435.63827693724,NA
R05_A,Copy of A01_1_FAKE,True,2486.3605291761187,6292.284058792509
R05_A,Copy of A12_1_3SP,True,3071.4202008771626,7542.7877403992225
R06_A,A10_1_FAKE,False,3759.5025119453453,NA
R06_A,Backup,False,169438.2737308802,NA
R06_A,A04_1_MONO,False,3895.29466923323,NA
R06_A,,False,169438.2737308802,NA
R06_A,,False,169438.2737308802,NA
R06_A,,False,169438.2737308802,NA
R06_A,,False,169438.2737308802,NA
R06_A,,False,169438.2737308802,NA
R06_A,,False,169438.2737308802,NA
R06_A,Copy of A10_1_FAKE,True,4018.2590827798235,11956.036549044225
R06_A,Copy of A04_1_MONO,True,4311.119049073612,12676.675912862642
R07_A,Backup,False,183791.0621518212,NA
R07_A,A16_1_MONO,False,1396.26385783245,NA
R07_A,A13_1_6SP,False,3294.354232487214,NA
R07_A,A09_1_3SP,False,3702.723412863428,NA
R07_A,A12_1_FAKE,False,4147.562987842366,NA
R07_A,A13_1_FAKE,False,3302.959888797979,NA
R07_A,,False,183791.0621518212,NA
R07_A,,False,183791.0621518212,NA
R07_A,,False,183791.0621518212,NA
R07_A,Copy of A16_1_MONO,True,1524.2839230815634,3558.879793113441
R07_A,Copy of A13_1_6SP,True,3503.310965392398,11710.000636009117
R07_A,Copy of A09_1_3SP,True,3971.1699490454766,12940.84658979109
R07_A,Copy of A12_1_FAKE,True,4383.720743844895,12545.89204108811
R07_A,Copy of A13_1_FAKE,True,3609.840063870407,11944.254753490932
R08_A,Backup,False,169191.42303456177,NA
R08_A,A07_1_FAKE,False,2841.1803762279374,NA
R08_A,A03_1_MONO,False,2634.9577553882814,NA
R08_A,A07_1_MONO,False,3812.726149737829,NA
R08_A,A12_1_MONO,False,3566.217788669539,NA
R08_A,A09_1_MONO,False,3524.2226435123716,NA
R08_A,,False,169191.42303456177,NA
R08_A,,False,169191.42303456177,NA
R08_A,,False,169191.42303456177,NA
R08_A,Copy of A07_1_FAKE,True,3077.995805649527,7995.44409011759
R08_A,Copy of A03_1_MONO,True,2972.4354139986212,7728.238865719921
R08_A,Copy of A07_1_MONO,True,4131.938768560133,11823.580435524127
R08_A,Copy of A12_1_MONO,True,3772.847750346701,10730.36770254555
R08_A,Copy of A09_1_MONO,True,3768.7590129056603,11982.22264890829
R09_A,Backup,False,170587.7199705479,NA
R09_A,A02_1_FAKE,False,2914.426884258171,NA
R09_A,A13_1_MONO,False,2756.78683782751,NA
R09_A,A06_1_3SP,False,4706.062069007738,NA
R09_A,,False,170587.7199705479,NA
R09_A,,False,170587.7199705479,NA
R09_A,,False,170587.7199705479,NA
R09_A,,False,170587.7199705479,NA
R09_A,,False,170587.7199705479,NA
R09_A,Copy of A02_1_FAKE,True,3182.346194368653,7941.722017453916
R09_A,Copy of A13_1_MONO,True,2961.899219379822,9648.88629303285
R09_A,Copy of A06_1_3SP,True,4923.604975128692,11584.345161580524
R10_A,Backup,False,181844.67522476296,NA
R10_A,A08_1_3SP,False,3950.1511397366744,NA
R10_A,A15_1_6SP,False,3264.7898941605436,NA
R10_A,A11_1_MONO,False,3539.430127920389,NA
R10_A,A01_1_3SP,False,6044.136479636481,NA
R10_A,A02_1_6SP,False,5697.600443310264,NA
R10_A,,False,181844.67522476296,NA
R10_A,,False,181844.67522476296,NA
R10_A,,False,181844.67522476296,NA
R10_A,Copy of A08_1_3SP,True,4360.557495843195,13373.781319985226
