SampleID,Temp,Weight(g),TANK,Date,
STD,24,74.9863,,4/28/26,
A05_1_MONO,24,12.0083,TANK1,4/28/26,
A05_2_MONO,24,10.7682,TANK1,4/28/26,
A05_3_MONO,24,8.6586,TANK1,4/28/26,
A05_4_MONO,24,11.8707,TANK1,4/28/26,
A05_5_MONO,24,13.3989,TANK1,4/28/26,
A05_6_MONO,24,14.8879,TANK1,4/28/26,
A06_2_MONO,24,9.1818,TANK1,4/28/26,
A06_3_MONO,24,14.1108,TANK1,4/28/26,
A06_4_MONO,24,8.5073,TANK1,4/28/26,
A06_5_MONO,24,8.7523,TANK1,4/28/26,
A06_6_MONO,24,6.6945,TANK1,4/28/26,
A07_1_MONO,24,10.7608,TANK1,4/28/26,
A07_2_MONO,24,12.8455,TANK1,4/28/26,
A07_3_MONO,24,9.921,TANK1,4/28/26,
A07_4_MONO,24,7.7523,TANK1,4/28/26,
A07_5_MONO,24,10.7542,TANK1,4/28/26,
A07_6_MONO,24,7.5473,TANK1,4/28/26,
A08_1_MONO,24,10.026,TANK1,4/28/26,
A08_2_MONO,24,9.1423,TANK1,4/28/26,
A08_3_MONO,24,10.2868,TANK1,4/28/26,
A08_4_MONO,24,15.8992,TANK1,4/28/26,
A08_5_MONO,24,9.2338,TANK1,4/28/26,
A08_6_MONO,24,11.8589,TANK1,4/28/26,
A01_1_6SP,24,8.7916,TANK2,4/28/26,
A03_1_6SP,24,13.6801,TANK2,4/28/26,
B01_1_6SP,24,6.2781,TANK2,4/28/26,
B03_1_6SP,24,14.3236,TANK2,4/28/26,
B04_1_6SP,24,9.5045,TANK2,4/28/26,
C01_1_6SP,24,21.1389,TANK2,4/28/26,
C02_1_6SP,24,13.4053,TANK2,4/28/26,
C03_1_6SP,24,11.2708,TANK2,4/28/26,
C04_1_6SP,24,13.0873,TANK2,4/28/26,
D01_1_6SP,24,23.3123,TANK2,4/28/26,
STD,24.1,74.9856,,4/28/26,
D02_1_6SP,24.1,17.592,TANK2,4/28/26,
D03_1_6SP,24.1,21.8848,TANK2,4/28/26,
D04_1_6SP,24.1,10.5223,TANK2,4/28/26,
E01_1_6SP,24.1,6.0967,TANK2,4/28/26,
E02_1_6SP,24.1,6.9639,TANK2,4/28/26,
E03_1_6SP,24.1,9.8557,TANK2,4/28/26,
E04_1_6SP,24.1,6.2967,TANK2,4/28/26,
F01_1_6SP,24.1,22.4466,TANK2,4/28/26,
F02_1_6SP,24.1,21.2606,TANK2,4/28/26,
F03_1_6SP,24.1,28.2177,TANK2,4/28/26,
F04_1_6SP,24.1,22.2225,TANK2,4/28/26,
STD,24,74.9845,,4/28/26,
B09_2_MONO,24,5.1663,TANK3,4/28/26,
B09_3_MONO,24,7.3393,TANK3,4/28/26,
B09_4_MONO,24,9.2128,TANK3,4/28/26,
B09_5_MONO,24,7.2033,TANK3,4/28/26,
B09_6_MONO,24,6.123,TANK3,4/28/26,
B10_1_MONO,24,9.6421,TANK3,4/28/26,
B10_2_MONO,24,7.1683,TANK3,4/28/26,
B10_3_MONO,24,8.6336,TANK3,4/28/26,
B10_4_MONO,24,6.1786,TANK3,4/28/26,
B10_5_MONO,24,6.1332,TANK3,4/28/26,
B10_6_MONO,24,6.4919,TANK3,4/28/26,
B11_1_MONO,24,6.4765,TANK3,4/28/26,
B11_2_MONO,24,6.0129,TANK3,4/28/26,
B11_3_MONO,24,5.5041,TANK3,4/28/26,
B11_4_MONO,24,5.1725,TANK3,4/28/26,
