sample_ID,weight_g_T0,temp,tank,date,notes
STD,75.0899,23.2,,3/5/26,
B04_1_MONO,10.253,23.2,,3/5/26,
A06_1_MONO,9.108,23.2,,3/5/26,
B05_1_MONO,9.2468,23.1,,3/5/26,
STD,75.0858,23.1,,3/5/26,
B11_1_FAKE,7.6403,23.1,,3/5/26,
A09_1_FAKE,9.2232,22.8,,3/5/26,
STD,75.0686,22.8,,3/5/26,
B07_1_3SP,10.3223,22.8,,3/5/26,
B08_1_3SP,11.4132,22.8,,3/5/26,
STD,75.0827,22.7,,3/5/26,
A10_1_6SP,8.2018,22.7,,3/5/26,
A16_1_6SP,12.2572,22.7,,3/5/26,
A03_1_3SP,7.4452,22.7,,3/5/26,
STD,74.9958,22.5,,3/5/26,
A04_1_FAKE,10.4303,22.5,,3/5/26,
A04_1_6SP,9.5961,22.5,,3/5/26,
B09_1_MONO,6.9138,22.5,,3/5/26,
STD,74.9917,22.4,,3/5/26,
A15_1_MONO,11.3134,22.4,,3/5/26,
B12_1_3SP,9.4883,22.4,,3/5/26,
A09_1_6SP,12.3662,22.4,,3/5/26,
STD,74.9938,22.3,,3/5/26,
B06_1_MONO,8.1684,22.3,,3/5/26,
B05_1_FAKE,12.7255,22.3,,3/5/26,
B15_1_3SP,8.3517,22.3,,3/5/26,
STD,75.0011,22.15,,3/5/26,
A04_1_3SP,10.6912,22.15,,3/5/26,
STD,74.988,21.8,,3/5/26,
C07_2_3SP,16.9788,21.8,,3/5/26,
C08_2_3SP,19.683,21.8,,3/5/26,
C06_2_3SP,15.407,21.8,,3/5/26,
A12_1_FAKE,6.0116,21.8,,3/5/26,
A11_1_6SP,11.6956,21.8,,3/5/26,
STD,74.9888,21.7,,3/5/26,
A15_1_3SP,13.2353,21.7,,3/5/26,
A12_1_6SP,7.5095,21.7,,3/5/26,
B03_1_6SP,13.1309,21.7,,3/5/26,
A15_1_FAKE,9.6897,21.7,,3/5/26,
STD,74.9925,21.6,,3/5/26,
A10_1_3SP,8.6483,21.6,,3/5/26,
B06_1_3SP,7.9782,21.6,,3/5/26,
B04_1_FAKE,10.4403,21.6,,3/5/26,
A05_1_6SP,8.3886,21.6,,3/5/26,
STD,74.967,23.9,,3/5/26,
C05_2_3SP,25.2634,23.9,,3/5/26,
C01_2_3SP,31.8852,23.9,,3/5/26,
C02_2_3SP,26.0223,24,,3/5/26,
C03_2_3SP,13.7484,24,,3/5/26,
C04_2_3SP,13.3336,24,,3/5/26,
STD,74.9951,24,,3/5/26,
C09_2_3SP,18.1128,24,,3/5/26,
C10_2_3SP,24.2703,24,,3/5/26,
C11_2_3SP,15.1043,24,,3/5/26,
C12_2_3SP,11.5233,24,,3/5/26,
C13_2_3SP,13.3583,24,,3/5/26,
B10_1_3SP,5.1534,24,,3/5/26,
A08_1_MONO,9.1652,23.9,,3/5/26,
B08_1_MONO,15.4343,23.9,,3/5/26,
A13_1_3SP,8.517,23.9,,3/5/26,
B14_1_MONO,9.039,24,,3/5/26,
A05_1_MONO,11.0781,24,,3/5/26,
A05_1_3SP,13.8288,24,,3/5/26,
A16_1_FAKE,10.4823,23.9,,3/5/26,
A07_1_6SP,11.357,23.9,,3/5/26,
B13_1_6SP,6.969,23,,3/5/26,
C14_2_3SP,15.5737,24,,3/5/26,
C15_2_3SP,18.0226,24,,3/5/26,
C16_2_3SP,23.5569,24,,3/5/26,
C01_1_6SP,13.2228,23.9,,3/5/26,
C02_1_6SP,13.2228,23.9,,3/5/26,
C03_1_6SP,10.7466,23.9,,3/5/26,
C04_1_6SP,12.408,23.9,,3/5/26,
C05_1_6SP,13.7974,24,,3/5/26,
C06_1_6SP,16.5343,24.1,,3/5/26,
C07_1_6SP,12.8078,24.1,,3/5/26,
C08_1_6SP,14.1314,24.1,,3/5/26,
C09_1_6SP,18.0831,24.1,,3/5/26,
STD,74.9835,24.1,,3/5/26,
C10_1_6SP,22.573,24.1,,3/5/26,
C11_1_6SP,17.3006,24,,3/5/26,
C12_1_6SP,11.1022,24,,3/5/26,
C13_1_6SP,20.8458,24,,3/5/26,
C14_1_6SP,20.5098,24,,3/5/26,
C15_1_6SP,23.3127,24,,3/5/26,
C16_1_6SP,17.5144,24,,3/5/26,
B14_1_6SP,8.5286,24,,3/5/26,
A01_1_FAKE,7.2284,24,,3/5/26,
B11_1_6SP,7.4675,24,,3/5/26,
B13_1_FAKE,8.9711,23.9,,3/5/26,
B03_1_3SP,8.7729,23.9,,3/5/26,
B12_1_6SP,7.4069,23.9,,3/5/26,
B07_1_6SP,7.5912,23.9,,3/5/26,
B10_1_FAKE,6.888,23.9,,3/5/26,
B04_1_6SP,8.216,23.9,,3/5/26,
A12_1_3SP,7.0685,23.9,,3/5/26,
STD,74.9882,24.1,,3/6/26,
C01_1_3SP,16.499,24.1,,3/6/26,
C02_1_3SP,24.9109,24.1,,3/6/26,
C03_1_3SP,18.9045,24.1,,3/6/26,
C04_1_3SP,10.6106,24.1,,3/6/26,
C05_1_3SP,16.2874,24.1,,3/6/26,
C06_1_3SP,13.5641,24,,3/6/26,
C07_1_3SP,23.1338,24,,3/6/26,
C08_1_3SP,20.2885,24,,3/6/26,
C09_1_3SP,15.3673,24,,3/6/26,
STD,74.9933,24,,3/6/26,
C10_1_3SP,18.1126,24,,3/6/26,
C11_1_3SP,17.4802,23.9,,3/6/26,
C12_1_3SP,12.5345,23.9,,3/6/26,
C13_1_3SP,20.1528,23.9,,3/6/26,
STD,74.9949,23.9,,3/6/26,
C14_1_3SP,16.6582,24.1,,3/6/26,
C15_1_3SP,22.4871,24.1,,3/6/26,
C16_1_3SP,17.5004,24.1,,3/6/26,
A11_1_FAKE,8.5161,24.1,,3/6/26,
A04_1_MONO,9.3656,24.1,,3/6/26,
B05_1_3SP,11.1693,24,,3/6/26,
A11_1_3SP,8.9812,24,,3/6/26,
B16_1_3SP,7.9963,24,,3/6/26,
B02_1_6SP,6.615,23.9,,3/6/26,
B02_1_MONO,9.4289,23.9,,3/6/26,
B13_1_MONO,6.9264,23.9,,3/6/26,
B07_1_FAKE,6.5341,23.9,,3/6/26,
B15_1_FAKE,7.8984,23.9,,3/6/26,THIS WAS LABELED AS B01_1_3SP BUT I BELIEVE IT IS ACTUALLY B15 BASED ON ORDER IN NOTEBOK
B04_4_MONO,11.7949,24.1,,3/6/26,
