Biofac bulk physiology processing,,,,,,,,
Analyses:,,,,,,,,
"Chlorophyll a, symbiont density, tissue biomass, host protein",,,,,,,,
Samples for physio:,,,,,,,,
T0,96,,,,,,,
T1,192,,,,,,,
Total,~300,,,,,,,
,,,,,,,,
Item,Activity,Quantity needed,Quantity available in lab,Cost,Quantity,Link for ordering,Need to order?,Notes
0.2um filters,making filtered sea water,5,60,$267 ,100,https://www.fishersci.com/shop/products/isopore-membrane-filters-0-2-m/GTTP04700,n,
small ziploc bags,airbrushing,300,0,$4.58 ,100,https://www.walmart.com/ip/Ziploc-Brand-Sandwich-Bags-with-Grip-n-Seal-Technology-100-Count/213417694?classType=VARIANT&athbdg=L1200 ,y,
50mL tubes,homogenizing,300,2000,$183.95 ,500,https://www.fishersci.com/shop/products/falcon-50ml-conical-centrifuge-tubes-2/1495949A?searchHijack=true&searchTerm=falcon-50ml-conical-centrifuge-tubes-2&searchType=Rapid&matchedCatNo=1495949A ,n,
1000uL pipette tips,"tissue biomass, protein, chlorophyll a, symbiont density",1500,9600,$174.80 ,9600,https://www.usascientific.com/tipone-refills/p/tipone-refills ,n,
small aluminum trays,tissue biomass,900,"lots of big but haley using, no small",$35.90 ,100,https://www.fishersci.com/shop/products/aluminum-weighing-boats-26/01549009#?keyword= ,y,"triplicate samples, small 5mL capacity pans"
aluminum foil,tissue biomass,25 feet,300 sq ft,$10.48 ,100 sq ft,https://www.walmart.com/ip/Great-Value-Heavy-Duty-Aluminum-Foil-100-Sq-ft/819747197?classType=VARIANT&athbdg=L1102 ,n,
1.5mL tubes,"chlorophyll a, symbiont density, protein",900,4000,$23.20 ,500,https://www.geneseesci.com/product/olympus-premium-1-7ml-snap-cap-microcentrifuge-tubes/?sku=24-280 ,n,"300 for each analysis, lots of different options at this link for different quantities"
100% acetone,chlorophyll a,900 mL,300 mL,$31.65 ,1L,https://www.thermofisher.com/order/catalog/product/L10407.AU ,"y, could order larger size too since Haley will need",triplicate samples
quartz 96 well plate,chlorophyll a,1,ours is breaking because it's glued (see chris wall email),"$1,100 ",1,https://micqstore.com/products/general-standard-quartz-uv-96-well-plates-96-well-microplates-96-multiwell-plates?variant=43654279856289,y,specifically the Integrated Microplate-JGS1
protein kit,protein,900 samples,4000 samples,$362 ,1L,https://www.thermofisher.com/order/catalog/product/A55864 ,n,triplicate samples
