sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
A05_1_MONO,,A05,MONO,1,Porites compressa,PCOM,TANK01,T1,
A06_1_MONO,,A06,MONO,1,Porites compressa,PCOM,TANK01,T1,
A07_1_MONO,,A07,MONO,1,Porites compressa,PCOM,TANK01,T1,
A08_1_MONO,,A08,MONO,1,Porites compressa,PCOM,TANK01,T1,
A01_1_6SP,,A01,6SP,1,Porites compressa,PCOM,TANK02,T1,
A02_1_6SP,,A02,6SP,1,Porites compressa,PCOM,TANK02,T1,
A03_1_6SP,,A03,6SP,1,Porites compressa,PCOM,TANK02,T1,
A04_1_6SP,,A04,6SP,1,Porites compressa,PCOM,TANK02,T1,
B01_1_6SP,,B01,6SP,1,Montipora capitata,MCAP,TANK02,T1,
B02_1_6SP,,B02,6SP,1,Montipora capitata,MCAP,TANK02,T1,
B03_1_6SP,,B03,6SP,1,Montipora capitata,MCAP,TANK02,T1,
B04_1_6SP,,B04,6SP,1,Montipora capitata,MCAP,TANK02,T1,
C01_1_6SP,,C01,6SP,1,Pocillopora meandrina,PMEA,TANK02,T1,
C02_1_6SP,,C02,6SP,1,Pocillopora meandrina,PMEA,TANK02,T1,
C03_1_6SP,,C03,6SP,1,Pocillopora meandrina,PMEA,TANK02,T1,
C04_1_6SP,,C04,6SP,1,Pocillopora meandrina,PMEA,TANK02,T1,
D01_1_6SP,,D01,6SP,1,Pavona varians,PVAR,TANK02,T1,
D02_1_6SP,,D02,6SP,1,Pavona varians,PVAR,TANK02,T1,
D03_1_6SP,,D03,6SP,1,Pavona varians,PVAR,TANK02,T1,
D04_1_6SP,,D04,6SP,1,Pavona varians,PVAR,TANK02,T1,
E01_1_6SP,,E01,6SP,1,Leptastrea purpurea,LPUR,TANK02,T1,
E02_1_6SP,,E02,6SP,1,Leptastrea purpurea,LPUR,TANK02,T1,
E03_1_6SP,,E03,6SP,1,Leptastrea purpurea,LPUR,TANK02,T1,
E04_1_6SP,,E04,6SP,1,Leptastrea purpurea,LPUR,TANK02,T1,
F01_1_6SP,,F01,6SP,1,Porites evermanni,PEVE,TANK02,T1,
F02_1_6SP,,F02,6SP,1,Porites evermanni,PEVE,TANK02,T1,
F03_1_6SP,,F03,6SP,1,Porites evermanni,PEVE,TANK02,T1,
F04_1_6SP,,F04,6SP,1,Porites evermanni,PEVE,TANK02,T1,
