date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,Light_level,Light_value
3/4/26,9:10,9:26,B15,MCAP,B15_BF_PI,B15_BF_PI_O2.csv,DARK,RUN1,0,1,1,0
3/4/26,9:10,9:26,A13,PCOM,A13_BF_PI,A13_BF_PI_O2.csv,DARK,RUN1,0,2,1,0
3/4/26,9:10,9:26,BLANK1,BLANK,BLANK1_BF_PI,BLANK1_BF_PI_O2.csv,DARK,RUN1,1,3,1,0
3/4/26,9:10,9:26,A15,PCOM,A15_BF_PI,A15_BF_PI_O2.csv,DARK,RUN1,0,4,1,0
3/4/26,9:10,9:26,B04,MCAP,B04_BF_PI,B04_BF_PI_O2.csv,DARK,RUN1,0,5,1,0
3/4/26,9:10,9:26,A08,PCOM,A08_BF_PI,A08_BF_PI_O2.csv,DARK,RUN1,0,6,1,0
3/4/26,9:10,9:26,A02,PCOM,A02_BF_PI,A02_BF_PI_O2.csv,DARK,RUN1,0,7,1,0
3/4/26,9:10,9:26,B03,MCAP,B03_BF_PI,B03_BF_PI_O2.csv,DARK,RUN1,0,8,1,0
3/4/26,9:10,9:26,B16,MCAP,B16_BF_PI,B16_BF_PI_O2.csv,DARK,RUN1,0,9,1,0
3/4/26,9:10,9:26,BLANK2,BLANK,BLANK2_BF_PI,BLANK2_BF_PI_O2.csv,DARK,RUN1,1,10,1,0
3/4/26,9:10,9:26,A03,PCOM,A03_BF_PI,A03_BF_PI_O2.csv,DARK,RUN1,0,11,1,0
3/4/26,9:10,9:26,B05,MCAP,B05_BF_PI,B05_BF_PI_O2.csv,DARK,RUN1,0,12,1,0
3/4/26,9:29,9:44,B15,MCAP,B15_BF_PI,B15_BF_PI_O2.csv,LIGHT,RUN1,0,1,2,110
3/4/26,9:29,9:44,A13,PCOM,A13_BF_PI,A13_BF_PI_O2.csv,LIGHT,RUN1,0,2,2,110
3/4/26,9:29,9:44,BLANK1,BLANK,BLANK1_BF_PI,BLANK1_BF_PI_O2.csv,LIGHT,RUN1,1,3,2,110
3/4/26,9:29,9:44,A15,PCOM,A15_BF_PI,A15_BF_PI_O2.csv,LIGHT,RUN1,0,4,2,110
