sample_ID,species,weight_g,volume_mL,frag_ID,SA_cm2,run_block,timepoint,notes
A03_3SP_T0,PCOM,,474,A03_3SP,,RUN1,T0,
A06_MONO_T0,PCOM,,474,A06_MONO,,RUN1,T0,
A09_FAKE_T0,PCOM,,470,A09_FAKE,,RUN1,T0,
A10_6SP_T0,PCOM,,468,A10_6SP,,RUN1,T0,
A16_6SP_T0,PCOM,,464,A16_6SP,,RUN1,T0,
B04_MONO_T0,MCAP,,465,B04_MONO,,RUN1,T0,
B05_MONO_T0,MCAP,,469,B05_MONO,,RUN1,T0,
B07_3SP_T0,MCAP,,465,B07_3SP,,RUN1,T0,
B08_3SP_T0,MCAP,,465,B08_3SP,,RUN1,T0,
B11_FAKE_T0,MCAP,,470,B11_FAKE,,RUN1,T0,
BLANK1_RUN1_T0,BLANK,,485,BLANK1_RUN1,,RUN1,T0,
BLANK2_RUN1_T0,BLANK,,485,BLANK2_RUN1,,RUN1,T0,
A01_3SP_T0,PCOM,,463,A01_3SP,,RUN10,T0,
A02_6SP_T0,PCOM,,464,A02_6SP,,RUN10,T0,
A08_3SP_T0,PCOM,,470,A08_3SP,,RUN10,T0,
A11_MONO_T0,PCOM,,473,A11_MONO,,RUN10,T0,
A15_6SP_T0,PCOM,,472,A15_6SP,,RUN10,T0,
B01_6SP_T0,MCAP,,474,B01_6SP,,RUN10,T0,
B03_FAKE_T0,MCAP,,469,B03_FAKE,,RUN10,T0,
B06_6SP_T0,MCAP,,473,B06_6SP,,RUN10,T0,
B11_MONO_T0,MCAP,,475,B11_MONO,,RUN10,T0,
B14_3SP_T0,MCAP,,476,B14_3SP,,RUN10,T0,
BLANK1_RUN10_T0,BLANK,,485,BLANK1_RUN10,,RUN10,T0,
BLANK2_RUN10_T0,BLANK,,485,BLANK2_RUN10,,RUN10,T0,
A03_FAKE_T0,PCOM,,471,A03_FAKE,,RUN11,T0,
A05_FAKE_T0,PCOM,,470,A05_FAKE,,RUN11,T0,
A08_6SP_T0,PCOM,,470,A08_6SP,,RUN11,T0,
A14_MONO_T0,PCOM,,471,A14_MONO,,RUN11,T0,
B04_3SP_T0,MCAP,,473,B04_3SP,,RUN11,T0,
B05_6SP_T0,MCAP,,473,B05_6SP,,RUN11,T0,
B10_6SP_T0,MCAP,,470,B10_6SP,,RUN11,T0,
B12_FAKE_T0,MCAP,,472,B12_FAKE,,RUN11,T0,
B13_3SP_T0,MCAP,,468,B13_3SP,,RUN11,T0,
B15_MONO_T0,MCAP,,468,B15_MONO,,RUN11,T0,
BLANK1_RUN11_T0,BLANK,,485,BLANK1_RUN11,,RUN11,T0,
BLANK2_RUN11_T0,BLANK,,485,BLANK2_RUN11,,RUN11,T0,
A01_MONO_T0,PCOM,,467,A01_MONO,,RUN12,T0,
A02_3SP_T0,PCOM,,475,A02_3SP,,RUN12,T0,
A07_3SP_T0,PCOM,,475,A07_3SP,,RUN12,T0,
A08_FAKE_T0,PCOM,,470,A08_FAKE,,RUN12,T0,
A16_3SP_T0,PCOM,,467,A16_3SP,,RUN12,T0,
B01_MONO_T0,MCAP,,475,B01_MONO,,RUN12,T0,
