"PreSens Measurement Studio 2","4.1.0.2453",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"04/06/2026","16:48:42","4","default","138668578","NJS_OXY12","0.000","min","41.827","%a.s.","Humid","32.461","deg","101516","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","293046.75","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:44","4","default","138668578","NJS_OXY12","0.033","min","41.838","%a.s.","Humid","32.460","deg","101516","µV","23.596","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","293021.90","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:46","4","default","138668578","NJS_OXY12","0.066","min","41.806","%a.s.","Humid","32.468","deg","101523","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","293018.56","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:48","4","default","138668578","NJS_OXY12","0.100","min","41.799","%a.s.","Humid","32.470","deg","101503","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","293002.60","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:50","4","default","138668578","NJS_OXY12","0.133","min","41.809","%a.s.","Humid","32.467","deg","101504","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292994.43","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:52","4","default","138668578","NJS_OXY12","0.166","min","41.807","%a.s.","Humid","32.467","deg","101507","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292985.88","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:54","4","default","138668578","NJS_OXY12","0.200","min","41.788","%a.s.","Humid","32.475","deg","101512","µV","23.596","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292977.95","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:56","4","default","138668578","NJS_OXY12","0.233","min","41.800","%a.s.","Humid","32.469","deg","101502","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292978.75","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:58","4","default","138668578","NJS_OXY12","0.267","min","41.795","%a.s.","Humid","32.469","deg","101496","µV","23.626","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292976.06","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:00","4","default","138668578","NJS_OXY12","0.299","min","41.807","%a.s.","Humid","32.467","deg","101502","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292976.00","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
