"PreSens Measurement Studio 2","4.1.0.2453",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"04/06/2026","16:48:42","2","default","276140696","NJS_OXY6","0.000","min","88.016","%a.s.","Humid","23.310","deg","75112","µV","23.597","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299460.48","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:44","2","default","276140696","NJS_OXY6","0.033","min","87.995","%a.s.","Humid","23.315","deg","75092","µV","23.578","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299448.65","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:46","2","default","276140696","NJS_OXY6","0.066","min","87.968","%a.s.","Humid","23.318","deg","75065","µV","23.585","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299446.75","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:48","2","default","276140696","NJS_OXY6","0.100","min","88.072","%a.s.","Humid","23.306","deg","75061","µV","23.566","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299444.82","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:50","2","default","276140696","NJS_OXY6","0.133","min","87.970","%a.s.","Humid","23.317","deg","75035","µV","23.591","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299439.86","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:52","2","default","276140696","NJS_OXY6","0.166","min","88.007","%a.s.","Humid","23.312","deg","75021","µV","23.591","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299428.69","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:54","2","default","276140696","NJS_OXY6","0.200","min","87.988","%a.s.","Humid","23.316","deg","75021","µV","23.578","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299410.79","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:56","2","default","276140696","NJS_OXY6","0.233","min","87.962","%a.s.","Humid","23.318","deg","75009","µV","23.591","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299417.18","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:48:58","2","default","276140696","NJS_OXY6","0.267","min","87.999","%a.s.","Humid","23.313","deg","75009","µV","23.591","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299418.98","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:00","2","default","276140696","NJS_OXY6","0.300","min","87.999","%a.s.","Humid","23.313","deg","75004","µV","23.591","°C","1016.000","hPa","35.6","pmil","0","55.710","deg","20.000","°C","100.000","%a.s.","22.780","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","58.27","1","2500.00","299412.20","SADF0001000082","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-007","4/6/2026 10:15:27 AM","0000-00","0","no battery","V","","µV","","µV"
