sample_ID,Intercept,umol.L.sec,Temp.C,Light_level,Light_value,run_block
P1,242.11632279348618,-6.23248565693599e-4,23.640023121387284,1,0,RUN1
P2,241.43093928825058,-5.538952891975038e-4,23.522,1,0,RUN1
P3,237.79565375572705,-6.046160879350555e-4,23.587098265895953,1,0,RUN1
PBlank1,132.41845287941288,-8.208918777955163e-5,23.552127167630058,1,0,RUN1
P4,239.05164170834323,-6.172572834801908e-4,23.478838150289018,1,0,RUN1
P5,241.06529654341574,-5.217523862477999e-4,23.520687861271675,1,0,RUN1
P6,239.2659818827428,-5.064396748993869e-4,23.6038612716763,1,0,RUN1
P7,242.47214135639604,-5.464900846830648e-4,23.561797687861272,1,0,RUN1
P8,236.4961258367754,-6.33061529696626e-4,23.66901156069364,1,0,RUN1
PBlank2,127.69018647518347,-1.7233804150556446e-4,23.52169942196532,1,0,RUN1
P9,237.01945815768394,-6.284571829383728e-4,23.58249132947977,1,0,RUN1
P10,241.77572447252405,-5.952950322783901e-4,23.485670520231213,1,0,RUN1
P1,240.18767332627598,0.0017889018868734287,23.9386940509915,2,450,RUN1
P2,239.65609237728833,0.0021693809101030193,23.82786685552408,2,450,RUN1
P3,235.6981498212531,0.0021980112175268747,23.894892351274788,2,450,RUN1
PBlank1,132.12560965514817,0.0020764832490518335,23.859249291784703,2,450,RUN1
P4,237.2910317243781,0.0019819993245079647,23.839104815864022,2,450,RUN1
P5,239.06288153901636,0.0017467990790313167,23.857,2,450,RUN1
P6,237.42594986150445,0.0019644574072509723,23.922096317280452,2,450,RUN1
P7,241.5711325056522,0.0014566463142121097,23.912940509915014,2,450,RUN1
P8,234.5198402892912,0.0020498538674729155,24.001331444759206,2,450,RUN1
PBlank2,127.10952395551568,0.0022892035128752523,23.841339943342778,2,450,RUN1
P9,235.23316834328028,0.0016618172482852698,23.921447592067988,2,450,RUN1
P10,239.72557571064482,0.002093060365708375,23.797277620396603,2,450,RUN1
