date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,Light_level,Light_value
3/30/26,15:18,16:18,P1,water,P1,P1_O2.csv,DARK,RUN1,0,1,1,0
3/30/26,15:18,16:18,P2,water,P2,P2_O2.csv,DARK,RUN1,0,2,1,0
3/30/26,15:18,16:18,P3,water,P3,P3_O2.csv,DARK,RUN1,0,3,1,0
3/30/26,15:18,16:18,PBlank1,water,PBlank1,PBlank1_O2.csv,DARK,RUN1,1,4,1,0
3/30/26,15:18,16:18,P4,water,P4,P4_O2.csv,DARK,RUN1,0,5,1,0
3/30/26,15:18,16:18,P5,water,P5,P5_O2.csv,DARK,RUN1,0,6,1,0
3/30/26,15:18,16:18,P6,water,P6,P6_O2.csv,DARK,RUN1,0,7,1,0
3/30/26,15:18,16:18,P7,water,P7,P7_O2.csv,DARK,RUN1,0,8,1,0
3/30/26,15:18,16:18,P8,water,P8,P8_O2.csv,DARK,RUN1,0,9,1,0
3/30/26,15:18,16:18,PBlank2,water,PBlank2,PBlank2_O2.csv,DARK,RUN1,1,10,1,0
3/30/26,15:18,16:18,P9,water,P9,P9_O2.csv,DARK,RUN1,0,11,1,0
3/30/26,15:18,16:18,P10,water,P10,P10_O2.csv,DARK,RUN1,0,12,1,0
3/30/26,16:20,18:20,P1,water,P1,P1_O2.csv,LIGHT,RUN1,0,1,2,450
3/30/26,16:20,18:20,P2,water,P2,P2_O2.csv,LIGHT,RUN1,0,2,2,450
3/30/26,16:20,18:20,P3,water,P3,P3_O2.csv,LIGHT,RUN1,0,3,2,450
3/30/26,16:20,18:20,PBlank1,water,PBlank1,PBlank1_O2.csv,LIGHT,RUN1,1,4,2,450
3/30/26,16:20,18:20,P4,water,P4,P4_O2.csv,LIGHT,RUN1,0,5,2,450
3/30/26,16:20,18:20,P5,water,P5,P5_O2.csv,LIGHT,RUN1,0,6,2,450
3/30/26,16:20,18:20,P6,water,P6,P6_O2.csv,LIGHT,RUN1,0,7,2,450
3/30/26,16:20,18:20,P7,water,P7,P7_O2.csv,LIGHT,RUN1,0,8,2,450
3/30/26,16:20,18:20,P8,water,P8,P8_O2.csv,LIGHT,RUN1,0,9,2,450
3/30/26,16:20,18:20,PBlank2,water,PBlank2,PBlank2_O2.csv,LIGHT,RUN1,1,10,2,450
3/30/26,16:20,18:20,P9,water,P9,P9_O2.csv,LIGHT,RUN1,0,11,2,450
3/30/26,16:20,18:20,P10,water,P10,P10_O2.csv,LIGHT,RUN1,0,12,2,450
