Instrument,Tank,DateTime,Temperature,DO1,DO,"Temperature (W-CTD-02 22443169), °C","Absolute Pressure (W-CTD-02 22443169), kPa","Electrical Conductivity (W-CTD-02 22443169), µS/cm","Specific Conductivity (W-CTD-02 22443169), µS/cm",Salinity,"Total Dissolved Solids (W-CTD-02 22443169), mg/L"
DO1,Sump5,3/17/26 16:00,24.5,8.23,6.81,24.45,102.757,50288,50871,33.35,32687.22
DO1,Sump5,3/17/26 16:02,24.52,8.24,6.81,24.46,102.826,50329.8,50903.5,33.37,32714.37
DO1,Sump5,3/17/26 16:04,24.52,8.25,6.82,24.47,102.826,50340.6,50908,33.38,32721.42
DO1,Sump5,3/17/26 16:06,24.53,8.26,6.82,24.47,102.826,50370.5,50934.9,33.4,32740.83
DO1,Sump5,3/17/26 16:08,24.54,8.25,6.82,24.48,102.792,50383.5,50944.7,33.41,32749.26
DO1,Sump5,3/17/26 16:10,24.54,8.24,6.81,24.48,102.792,50404.4,50962.6,33.42,32762.84
DO1,Sump5,3/17/26 16:12,24.54,8.25,6.82,24.49,102.792,50383.2,50928.1,33.39,32749.07
DO1,Sump5,3/17/26 16:14,24.56,8.24,6.81,24.49,102.758,50368.9,50910.4,33.38,32739.76
DO1,Sump5,3/17/26 16:16,24.56,8.24,6.81,24.5,102.793,50263.5,50794.1,33.3,32671.3
DO1,Sump5,3/17/26 16:18,24.57,8.24,6.81,24.51,102.793,50327.6,50855.7,33.34,32712.96
DO1,Sump5,3/17/26 16:20,24.58,8.25,6.82,24.51,102.776,50274.4,50798.6,33.3,32678.33
DO1,Sump5,3/17/26 16:22,24.58,8.26,6.83,24.51,102.81,50239.3,50763.2,33.27,32655.57
DO1,Sump5,3/17/26 16:24,24.58,8.24,6.82,24.5,102.793,50230.1,50760.4,33.27,32649.59
DO1,Sump5,3/17/26 16:26,24.56,8.25,6.82,24.49,102.758,50228.1,50768.1,33.28,32648.24
DO1,Sump5,3/17/26 16:28,24.55,8.24,6.82,24.49,102.827,50252.8,50799.6,33.3,32664.31
DO1,Sump5,3/17/26 16:30,24.55,8.23,6.8,24.48,102.81,50233.9,50783.7,33.29,32652.01
DO1,Sump5,3/17/26 16:32,24.55,8.22,6.8,24.48,102.878,50245.7,50798.9,33.3,32659.7
DO1,Sump5,3/17/26 16:34,24.55,8.21,6.79,24.48,102.809,50211.6,50764.4,33.27,32637.52
DO1,Sump5,3/17/26 16:36,24.55,8.21,6.79,24.48,102.775,50245.5,50798.6,33.3,32659.55
DO1,Sump5,3/17/26 16:38,24.54,8.2,6.78,24.48,102.792,50229.4,50782.4,33.29,32649.13
DO1,Sump5,3/17/26 16:40,24.54,8.2,6.78,24.48,102.809,50243.4,50803.1,33.3,32658.19
DO1,Sump5,3/17/26 16:42,24.55,8.21,6.79,24.47,102.792,50237.3,50800.2,33.3,32654.26
DO1,Sump5,3/17/26 16:44,24.54,8.21,6.79,24.47,102.792,50229.2,50792,33.29,32648.98
DO1,Sump5,3/17/26 16:46,24.54,8.21,6.79,24.48,102.792,50253.4,50813.2,33.31,32664.68
DO1,Sump5,3/17/26 16:48,24.54,8.22,6.8,24.48,102.792,50245.2,50798.4,33.3,32659.39
DO1,Sump5,3/17/26 16:50,24.55,8.23,6.8,24.48,102.792,50220.3,50776.5,33.28,32643.18
DO1,Sump5,3/17/26 16:52,24.54,8.23,6.8,24.47,102.809,50229.2,50792,33.29,32648.98
DO1,Sump5,3/17/26 16:54,24.54,8.23,6.81,24.47,102.792,50187.3,50756.1,33.27,32621.71
DO1,Sump5,3/17/26 16:56,24.54,8.23,6.81,24.47,102.826,50191.2,50760.1,33.27,32624.27
DO1,Sump5,3/17/26 16:58,24.53,8.22,6.8,24.46,102.843,50232.1,50808,33.3,32650.86
DO1,Sump5,3/17/26 17:00,24.54,8.22,6.8,24.46,102.809,50169.2,50747.6,33.26,32609.99
DO1,Sump5,3/17/26 17:02,24.53,8.22,6.8,24.45,102.809,50222.1,50804.4,33.3,32644.38
DO1,Sump5,3/17/26 17:04,24.51,8.21,6.79,24.45,102.774,50199.1,50784.3,33.29,32629.39
DO1,Sump5,3/17/26 17:06,24.52,8.21,6.79,24.45,102.809,50193.1,50781.5,33.28,32625.48
DO1,Sump5,3/17/26 17:08,24.5,8.23,6.8,24.45,102.843,50219,50811,33.31,32642.35
DO1,Sump5,3/17/26 17:10,24.51,8.2,6.78,24.45,102.826,50152.2,50743.4,33.26,32598.95
