#,Date-Time (HST),pH   (pH),Temperature   (°C),Millivolts   (mv),Started,Button Down,Button Up,Host Connected,End of File
1,04/13/2026 15:10:53,8.14,22.23,-73.21,Logged,,,,
2,04/13/2026 15:11:53,8.15,22.58,-73.69,,,,,
3,04/13/2026 15:12:53,8.14,23.33,-73.38,,,,,
4,04/13/2026 15:13:53,8.14,24.07,-73.14,,,,,
5,04/13/2026 15:14:53,8.13,24.82,-72.71,,,,,
6,04/13/2026 15:15:53,8.11,25.53,-72.27,,,,,
7,04/13/2026 15:16:53,8.10,26.28,-71.83,,,,,
8,04/13/2026 15:17:53,8.09,27.06,-71.36,,,,,
9,04/13/2026 15:18:53,8.08,27.85,-70.81,,,,,
10,04/13/2026 15:19:53,8.07,28.52,-70.19,,,,,
11,04/13/2026 15:20:53,8.06,29.09,-69.63,,,,,
12,04/13/2026 15:21:53,8.05,29.49,-69.05,,,,,
13,04/13/2026 15:22:53,8.04,29.79,-68.58,,,,,
14,04/13/2026 15:23:53,8.03,29.99,-68.16,,,,,
15,04/13/2026 15:24:53,8.02,30.14,-67.81,,,,,
16,04/13/2026 15:25:53,8.02,30.22,-67.55,,,,,
17,04/13/2026 15:26:53,8.01,30.27,-67.31,,,,,
18,04/13/2026 15:27:53,8.01,30.32,-67.16,,,,,
19,04/13/2026 15:28:42,,,,,Logged,,,
20,04/13/2026 15:28:43,,,,,,Logged,,
21,04/13/2026 15:28:46,,,,,,,Logged,
22,04/13/2026 15:28:53,8.01,30.32,-67.06,,,,,
23,04/13/2026 15:29:53,8.01,30.29,-66.97,,,,,
24,04/13/2026 15:30:53,8.01,30.27,-66.91,,,,,
25,04/13/2026 15:31:53,8.01,30.24,-66.89,,,,,
26,04/13/2026 15:32:53,8.01,30.22,-66.88,,,,,
27,04/13/2026 15:33:53,8.01,30.17,-66.91,,,,,
28,04/13/2026 15:34:53,8.01,30.12,-66.99,,,,,
29,04/13/2026 15:35:53,8.01,30.04,-67.27,,,,,
30,04/13/2026 15:36:53,8.02,29.92,-67.66,,,,,
31,04/13/2026 15:37:53,8.03,29.77,-68.08,,,,,
32,04/13/2026 15:38:53,8.04,29.59,-68.60,,,,,
33,04/13/2026 15:39:53,8.05,29.39,-69.13,,,,,
34,04/13/2026 15:40:53,8.06,29.14,-69.63,,,,,
35,04/13/2026 15:41:53,8.06,28.89,-70.06,,,,,
36,04/13/2026 15:42:53,8.07,28.62,-70.50,,,,,
37,04/13/2026 15:43:53,8.08,28.34,-70.92,,,,,
38,04/13/2026 15:44:53,8.09,28.07,-71.31,,,,,
39,04/13/2026 15:45:53,8.10,27.80,-71.71,,,,,
40,04/13/2026 15:46:53,8.10,27.53,-72.06,,,,,
41,04/13/2026 15:47:53,8.11,27.26,-72.39,,,,,
42,04/13/2026 15:48:53,8.12,26.96,-72.72,,,,,
43,04/13/2026 15:49:53,8.12,26.72,-73.02,,,,,
44,04/13/2026 15:50:53,8.13,26.48,-73.31,,,,,
45,04/13/2026 15:51:53,8.13,26.23,-73.56,,,,,
46,04/13/2026 15:52:53,8.14,26.04,-73.83,,,,,
47,04/13/2026 15:53:53,8.14,25.84,-74.06,,,,,
48,04/13/2026 15:54:53,8.15,25.65,-74.28,,,,,
49,04/13/2026 15:55:53,8.15,25.45,-74.50,,,,,
50,04/13/2026 15:56:53,8.16,25.26,-74.77,,,,,
51,04/13/2026 15:57:53,8.17,25.06,-75.06,,,,,
52,04/13/2026 15:58:53,8.17,24.87,-75.36,,,,,
53,04/13/2026 15:59:53,8.18,24.68,-75.67,,,,,
54,04/13/2026 16:00:53,8.18,24.51,-75.99,,,,,
55,04/13/2026 16:01:53,8.19,24.34,-76.28,,,,,
56,04/13/2026 16:02:53,8.20,24.15,-76.56,,,,,
57,04/13/2026 16:03:53,8.20,23.98,-76.83,,,,,
58,04/13/2026 16:04:53,8.21,23.81,-77.08,,,,,
59,04/13/2026 16:05:53,8.21,23.64,-77.33,,,,,
60,04/13/2026 16:06:53,8.22,23.47,-77.56,,,,,
61,04/13/2026 16:07:53,8.22,23.30,-77.77,,,,,
62,04/13/2026 16:08:53,8.22,23.16,-77.96,,,,,
63,04/13/2026 16:09:53,8.23,23.02,-78.13,,,,,
64,04/13/2026 16:10:27,,,,,Logged,Logged,,
65,04/13/2026 16:10:43,,,,,Logged,Logged,,
66,04/13/2026 16:10:53,8.23,22.80,-78.31,,,,,
67,04/13/2026 16:11:53,8.23,22.58,-78.42,,,,,
68,04/13/2026 16:12:53,8.24,22.37,-78.55,,,,,
69,04/13/2026 16:13:53,8.24,22.15,-78.64,,,,,
70,04/13/2026 16:14:53,8.24,21.96,-78.77,,,,,
71,04/13/2026 16:15:37,,,,,Logged,,,
72,04/13/2026 16:15:38,,,,,,Logged,,
73,04/13/2026 16:15:53,8.25,21.75,-78.97,,,,,
74,04/13/2026 16:16:08,,,,,,,Logged,Logged
