#,Date-Time (HST),"pH , pH","Temperature , °C","Millivolts , mv"
1,04/13/2026 16:27:00,8.32,21.17,-82.83
2,04/13/2026 16:28:00,8.31,21.25,-82.38
3,04/13/2026 16:29:00,8.30,21.37,-81.77
4,04/13/2026 16:30:00,8.05,21.63,-67.78
5,04/13/2026 16:31:00,8.13,24.17,-72.63
6,04/13/2026 16:32:00,8.15,24.82,-73.94
7,04/13/2026 16:33:00,8.16,25.14,-74.64
8,04/13/2026 16:34:00,8.16,25.45,-75.02
9,04/13/2026 16:35:00,8.17,25.60,-75.19
10,04/13/2026 16:36:00,8.17,25.74,-75.21
11,04/13/2026 16:37:00,8.16,25.87,-75.22
12,04/13/2026 16:38:00,8.16,25.96,-75.21
13,04/13/2026 16:39:00,8.16,26.04,-75.17
14,04/13/2026 16:40:00,8.16,26.08,-75.17
15,04/13/2026 16:41:00,8.16,26.16,-75.17
16,04/13/2026 16:42:00,8.16,26.18,-75.17
17,04/13/2026 16:43:00,8.16,26.23,-75.21
18,04/13/2026 16:44:00,8.16,26.26,-75.21
19,04/13/2026 16:45:00,8.16,26.28,-75.22
20,04/13/2026 16:46:00,8.16,26.33,-75.24
21,04/13/2026 16:47:00,8.16,26.35,-75.24
22,04/13/2026 16:48:00,8.16,26.35,-75.25
23,04/13/2026 16:49:00,8.16,26.38,-75.25
24,04/13/2026 16:50:00,8.16,26.40,-75.27
25,04/13/2026 16:51:00,8.16,26.40,-75.25
26,04/13/2026 16:52:00,8.16,26.43,-75.25
27,04/13/2026 16:53:00,8.16,26.43,-75.25
28,04/13/2026 16:54:00,8.16,26.45,-75.27
29,04/13/2026 16:55:00,8.16,26.45,-75.27
30,04/13/2026 16:56:00,8.16,26.48,-75.27
31,04/13/2026 16:57:00,8.16,26.48,-75.27
32,04/13/2026 16:58:00,8.16,26.48,-75.28
33,04/13/2026 16:59:00,8.16,26.50,-75.27
34,04/13/2026 17:00:00,8.16,26.50,-75.25
35,04/13/2026 17:01:00,8.16,26.50,-75.24
36,04/13/2026 17:02:00,8.16,26.50,-75.22
37,04/13/2026 17:03:00,8.16,26.50,-75.21
38,04/13/2026 17:04:00,8.16,26.50,-75.17
39,04/13/2026 17:05:00,8.16,26.50,-75.16
40,04/13/2026 17:06:00,8.16,26.50,-75.14
41,04/13/2026 17:07:00,8.16,26.48,-75.13
42,04/13/2026 17:08:00,8.16,26.48,-75.11
43,04/13/2026 17:09:00,8.16,26.48,-75.10
44,04/13/2026 17:10:00,8.16,26.48,-75.08
45,04/13/2026 17:11:00,8.16,26.48,-75.06
46,04/13/2026 17:12:00,8.16,26.48,-75.05
47,04/13/2026 17:13:00,8.16,26.48,-75.05
48,04/13/2026 17:14:00,8.16,26.48,-75.03
49,04/13/2026 17:15:00,8.16,26.45,-75.02
50,04/13/2026 17:16:00,8.16,26.45,-75.00
51,04/13/2026 17:17:00,8.16,26.45,-74.99
52,04/13/2026 17:18:00,8.16,26.45,-74.97
53,04/13/2026 17:19:00,8.16,26.45,-74.96
54,04/13/2026 17:20:00,8.16,26.45,-74.94
55,04/13/2026 17:21:00,8.16,26.43,-74.92
56,04/13/2026 17:22:00,8.16,26.43,-74.91
57,04/13/2026 17:23:00,8.16,26.43,-74.89
58,04/13/2026 17:24:00,8.16,26.43,-74.88
59,04/13/2026 17:25:00,8.16,26.43,-74.86
60,04/13/2026 17:26:00,8.16,26.43,-74.83
61,04/13/2026 17:27:00,8.16,26.40,-74.81
62,04/13/2026 17:28:00,8.16,26.40,-74.80
63,04/13/2026 17:29:00,8.16,26.40,-74.78
64,04/13/2026 17:30:00,8.15,26.40,-74.75
65,04/13/2026 17:31:00,8.15,26.38,-74.74
66,04/13/2026 17:32:00,8.15,26.38,-74.71
67,04/13/2026 17:33:00,8.15,26.38,-74.69
68,04/13/2026 17:34:00,8.15,26.38,-74.66
69,04/13/2026 17:35:00,8.15,26.35,-74.64
70,04/13/2026 17:36:00,8.15,26.35,-74.63
71,04/13/2026 17:37:00,8.15,26.35,-74.60
72,04/13/2026 17:38:00,8.15,26.33,-74.58
73,04/13/2026 17:39:00,8.15,26.33,-74.55
74,04/13/2026 17:40:00,8.15,26.33,-74.53
75,04/13/2026 17:41:00,8.15,26.33,-74.50
76,04/13/2026 17:42:00,8.15,26.33,-74.49
77,04/13/2026 17:43:00,8.15,26.30,-74.47
78,04/13/2026 17:44:00,8.15,26.30,-74.44
79,04/13/2026 17:45:00,8.15,26.30,-74.41
80,04/13/2026 17:46:00,8.15,26.30,-74.38
81,04/13/2026 17:47:00,8.15,26.28,-74.35
82,04/13/2026 17:48:00,8.15,26.28,-74.31
83,04/13/2026 17:49:00,8.15,26.28,-74.30
84,04/13/2026 17:50:00,8.15,26.28,-74.27
85,04/13/2026 17:51:00,8.15,26.26,-74.24
86,04/13/2026 17:52:00,8.15,26.26,-74.21
87,04/13/2026 17:53:00,8.14,26.26,-74.16
88,04/13/2026 17:54:00,8.14,26.23,-74.13
89,04/13/2026 17:55:00,8.14,26.23,-74.10
90,04/13/2026 17:56:00,8.14,26.23,-74.06
91,04/13/2026 17:57:00,8.14,26.23,-74.03
92,04/13/2026 17:58:00,8.14,26.21,-74.02
93,04/13/2026 17:59:00,8.14,26.21,-73.99
94,04/13/2026 18:00:00,8.14,26.21,-73.96
95,04/13/2026 18:01:00,8.14,26.21,-73.92
96,04/13/2026 18:02:00,8.14,26.18,-73.89
97,04/13/2026 18:03:00,8.14,26.18,-73.86
98,04/13/2026 18:04:00,8.14,26.18,-73.81
99,04/13/2026 18:05:00,8.14,26.18,-73.80
100,04/13/2026 18:06:00,8.14,26.16,-73.75
101,04/13/2026 18:07:00,8.14,26.16,-73.72
102,04/13/2026 18:08:00,8.14,26.16,-73.67
103,04/13/2026 18:09:00,8.14,26.13,-73.64
104,04/13/2026 18:10:00,8.14,26.13,-73.61
105,04/13/2026 18:11:00,8.14,26.13,-73.56
106,04/13/2026 18:12:00,8.13,26.11,-73.53
107,04/13/2026 18:13:00,8.13,26.11,-73.50
108,04/13/2026 18:14:00,8.13,26.11,-73.46
109,04/13/2026 18:15:00,8.13,26.08,-73.41
110,04/13/2026 18:16:00,8.13,26.08,-73.38
111,04/13/2026 18:17:00,8.13,26.06,-73.35
112,04/13/2026 18:18:00,8.13,26.06,-73.30
113,04/13/2026 18:19:00,8.13,26.06,-73.27
114,04/13/2026 18:20:00,8.13,26.04,-73.22
115,04/13/2026 18:21:00,8.13,26.04,-73.19
116,04/13/2026 18:22:00,8.13,26.01,-73.14
117,04/13/2026 18:23:00,8.13,26.01,-73.11
118,04/13/2026 18:24:00,8.13,26.01,-73.06
119,04/13/2026 18:25:00,8.13,25.99,-73.03
120,04/13/2026 18:26:00,8.13,25.99,-72.99
121,04/13/2026 18:27:00,8.13,25.96,-72.94
122,04/13/2026 18:28:00,8.12,25.96,-72.92
123,04/13/2026 18:29:00,8.12,25.96,-72.88
124,04/13/2026 18:30:00,8.12,25.94,-72.83
125,04/13/2026 18:31:00,8.12,25.94,-72.78
126,04/13/2026 18:32:00,8.12,25.91,-72.75
127,04/13/2026 18:33:00,8.12,25.91,-72.71
128,04/13/2026 18:34:00,8.12,25.89,-72.67
129,04/13/2026 18:35:00,8.12,25.89,-72.63
130,04/13/2026 18:36:00,8.12,25.89,-72.58
131,04/13/2026 18:37:00,8.12,25.87,-72.53
132,04/13/2026 18:38:00,8.12,25.87,-72.50
133,04/13/2026 18:39:00,8.12,25.84,-72.46
134,04/13/2026 18:40:00,8.12,25.84,-72.42
135,04/13/2026 18:41:00,8.12,25.82,-72.38
136,04/13/2026 18:42:00,8.12,25.82,-72.35
137,04/13/2026 18:43:00,8.11,25.79,-72.30
138,04/13/2026 18:44:00,8.11,25.79,-72.25
139,04/13/2026 18:45:00,8.11,25.77,-72.22
140,04/13/2026 18:46:00,8.11,25.77,-72.17
141,04/13/2026 18:47:00,8.11,25.74,-72.13
142,04/13/2026 18:48:00,8.11,25.74,-72.10
143,04/13/2026 18:49:00,8.11,25.72,-72.05
144,04/13/2026 18:50:00,8.11,25.72,-72.02
145,04/13/2026 18:51:00,8.11,25.70,-71.97
146,04/13/2026 18:52:00,8.11,25.70,-71.94
147,04/13/2026 18:53:00,8.11,25.67,-71.89
148,04/13/2026 18:54:00,8.11,25.67,-71.85
149,04/13/2026 18:55:00,8.11,25.65,-71.81
150,04/13/2026 18:56:00,8.11,25.65,-71.77
