#,Date-Time (HST),pH   (pH),Temperature   (°C),Millivolts   (mv),Started,Button Down,Host Connected,Button Up,End of File
1,04/13/2026 15:20:46,8.19,21.60,-79.06,Logged,,,,
2,04/13/2026 15:21:46,8.19,22.23,-79.55,,,,,
3,04/13/2026 15:22:46,8.17,23.76,-78.58,,,,,
4,04/13/2026 15:23:46,8.15,25.02,-77.67,,,,,
5,04/13/2026 15:24:46,8.13,25.94,-76.74,,,,,
6,04/13/2026 15:25:46,8.11,26.65,-75.88,,,,,
7,04/13/2026 15:26:46,8.10,27.21,-75.19,,,,,
8,04/13/2026 15:27:46,8.09,27.63,-74.78,,,,,
9,04/13/2026 15:28:46,8.08,27.95,-74.08,,,,,
10,04/13/2026 15:29:46,8.07,28.22,-73.61,,,,,
11,04/13/2026 15:30:46,8.06,28.42,-73.24,,,,,
12,04/13/2026 15:31:46,8.05,28.59,-72.94,,,,,
13,04/13/2026 15:32:46,8.05,28.72,-72.69,,,,,
14,04/13/2026 15:33:46,8.05,28.82,-72.50,,,,,
15,04/13/2026 15:34:46,8.04,28.89,-72.41,,,,,
16,04/13/2026 15:35:46,8.05,28.92,-72.49,,,,,
17,04/13/2026 15:36:46,8.05,28.89,-72.71,,,,,
18,04/13/2026 15:37:46,8.05,28.82,-73.00,,,,,
19,04/13/2026 15:38:46,8.06,28.72,-73.38,,,,,
20,04/13/2026 15:39:46,8.07,28.59,-73.77,,,,,
21,04/13/2026 15:40:46,8.08,28.42,-74.17,,,,,
22,04/13/2026 15:41:46,8.08,28.22,-74.55,,,,,
23,04/13/2026 15:42:46,8.09,28.00,-75.13,,,,,
24,04/13/2026 15:43:46,8.10,27.80,-75.36,,,,,
25,04/13/2026 15:44:46,8.10,27.58,-75.67,,,,,
26,04/13/2026 15:45:46,8.11,27.38,-76.00,,,,,
27,04/13/2026 15:46:46,8.12,27.14,-76.33,,,,,
28,04/13/2026 15:47:46,8.12,26.89,-76.66,,,,,
29,04/13/2026 15:48:46,8.13,26.67,-77.00,,,,,
30,04/13/2026 15:49:46,8.14,26.43,-77.30,,,,,
31,04/13/2026 15:50:46,8.14,26.21,-77.56,,,,,
32,04/13/2026 15:51:46,8.15,26.01,-77.81,,,,,
33,04/13/2026 15:52:46,8.15,25.82,-78.06,,,,,
34,04/13/2026 15:53:46,8.16,25.65,-78.31,,,,,
35,04/13/2026 15:54:46,8.16,25.48,-78.56,,,,,
36,04/13/2026 15:55:46,8.17,25.26,-78.81,,,,,
37,04/13/2026 15:56:46,8.17,25.09,-79.11,,,,,
38,04/13/2026 15:57:46,8.18,24.90,-79.61,,,,,
39,04/13/2026 15:58:46,8.19,24.73,-79.80,,,,,
40,04/13/2026 15:59:46,8.19,24.56,-80.11,,,,,
41,04/13/2026 16:00:46,8.20,24.39,-80.44,,,,,
42,04/13/2026 16:01:46,8.21,24.24,-80.77,,,,,
43,04/13/2026 16:02:46,8.21,24.07,-81.06,,,,,
44,04/13/2026 16:03:46,8.22,23.91,-81.38,,,,,
45,04/13/2026 16:04:46,8.22,23.76,-81.66,,,,,
46,04/13/2026 16:05:46,8.23,23.59,-81.92,,,,,
47,04/13/2026 16:06:46,8.23,23.45,-82.17,,,,,
48,04/13/2026 16:07:46,8.24,23.30,-82.42,,,,,
49,04/13/2026 16:08:46,8.24,23.16,-82.64,,,,,
50,04/13/2026 16:09:46,8.25,23.02,-82.85,,,,,
51,04/13/2026 16:10:46,8.25,22.85,-83.08,,,,,
52,04/13/2026 16:10:59,,,,,Logged,Logged,Logged,
53,04/13/2026 16:11:46,8.25,22.66,-83.17,,,,,
54,04/13/2026 16:12:46,8.26,22.42,-83.50,,,,,
55,04/13/2026 16:13:46,8.26,22.18,-83.39,,,,,
56,04/13/2026 16:14:46,8.26,22.01,-83.52,,,,,
57,04/13/2026 16:15:16,,,,,Logged,,Logged,
58,04/13/2026 16:15:41,,,,,Logged,,Logged,
59,04/13/2026 16:15:46,8.27,21.84,-83.66,,,,,
60,04/13/2026 16:16:12,,,,,,Logged,,Logged
