Instrument,Tank,DateTime,pH,Temperature,Millivolts
pH1,Sump5,3/17/26 16:00,8.09,24.51,-72.38
pH1,Sump5,3/17/26 16:01,8.09,24.51,-72.46
pH1,Sump5,3/17/26 16:02,8.09,24.51,-72.5
pH1,Sump5,3/17/26 16:03,8.09,24.53,-72.61
pH1,Sump5,3/17/26 16:04,8.09,24.53,-72.61
pH1,Sump5,3/17/26 16:05,8.09,24.53,-72.63
pH1,Sump5,3/17/26 16:06,8.09,24.53,-72.64
pH1,Sump5,3/17/26 16:07,8.09,24.53,-72.66
pH1,Sump5,3/17/26 16:08,8.09,24.53,-72.67
pH1,Sump5,3/17/26 16:09,8.09,24.53,-72.67
pH1,Sump5,3/17/26 16:10,8.09,24.53,-72.66
pH1,Sump5,3/17/26 16:11,8.09,24.56,-72.64
pH1,Sump5,3/17/26 16:12,8.09,24.56,-72.64
pH1,Sump5,3/17/26 16:13,8.09,24.56,-72.63
pH1,Sump5,3/17/26 16:14,8.09,24.56,-72.63
pH1,Sump5,3/17/26 16:15,8.09,24.56,-72.63
pH1,Sump5,3/17/26 16:16,8.09,24.56,-72.63
pH1,Sump5,3/17/26 16:17,8.09,24.56,-72.64
pH1,Sump5,3/17/26 16:18,8.09,24.58,-72.72
pH1,Sump5,3/17/26 16:19,8.09,24.58,-72.72
pH1,Sump5,3/17/26 16:20,8.09,24.58,-72.72
pH1,Sump5,3/17/26 16:21,8.09,24.58,-72.72
pH1,Sump5,3/17/26 16:22,8.09,24.58,-72.74
pH1,Sump5,3/17/26 16:23,8.09,24.58,-72.75
pH1,Sump5,3/17/26 16:24,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:25,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:26,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:27,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:28,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:29,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:30,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:31,8.09,24.56,-72.72
pH1,Sump5,3/17/26 16:32,8.09,24.56,-72.72
pH1,Sump5,3/17/26 16:33,8.1,24.56,-72.78
pH1,Sump5,3/17/26 16:34,8.1,24.56,-72.77
pH1,Sump5,3/17/26 16:35,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:36,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:37,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:38,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:39,8.09,24.56,-72.74
pH1,Sump5,3/17/26 16:40,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:41,8.09,24.56,-72.75
pH1,Sump5,3/17/26 16:42,8.1,24.56,-72.77
pH1,Sump5,3/17/26 16:43,8.1,24.53,-72.77
pH1,Sump5,3/17/26 16:44,8.1,24.53,-72.78
pH1,Sump5,3/17/26 16:45,8.1,24.56,-72.8
pH1,Sump5,3/17/26 16:46,8.1,24.56,-72.8
pH1,Sump5,3/17/26 16:47,8.1,24.56,-72.81
pH1,Sump5,3/17/26 16:48,8.1,24.56,-72.89
pH1,Sump5,3/17/26 16:49,8.1,24.56,-72.89
pH1,Sump5,3/17/26 16:50,8.1,24.56,-72.91
pH1,Sump5,3/17/26 16:51,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:52,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:53,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:54,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:55,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:56,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:57,8.1,24.53,-72.91
pH1,Sump5,3/17/26 16:58,8.1,24.53,-72.89
pH1,Sump5,3/17/26 16:59,8.1,24.53,-72.91
pH1,Sump5,3/17/26 17:00,8.1,24.53,-72.91
pH1,Sump5,3/17/26 17:01,8.1,24.53,-72.91
pH1,Sump5,3/17/26 17:02,8.1,24.53,-72.89
pH1,Sump5,3/17/26 17:03,8.1,24.53,-72.97
pH1,Sump5,3/17/26 17:04,8.1,24.53,-72.94
