Instrument,Tank,Time,DateTime,  BV (Volts),Temperature,DO,  Q ()
MiniDot1,Tank24,1773704760,3/16/26 13:46,2.69,20.759,8.12,0.947
MiniDot1,Tank24,1773704880,3/16/26 13:48,2.69,20.617,8.14,0.947
MiniDot1,Tank24,1773705000,3/16/26 13:50,2.69,20.5,8.158,0.947
MiniDot1,Tank24,1773705120,3/16/26 13:52,2.69,20.391,8.174,0.948
MiniDot1,Tank24,1773705240,3/16/26 13:54,2.69,20.299,8.178,0.947
MiniDot1,Tank24,1773705360,3/16/26 13:56,2.69,19.722,7.482,0.939
MiniDot1,Tank24,1773705480,3/16/26 13:58,2.7,16.927,7.735,0.94
MiniDot1,Tank24,1773705600,3/16/26 14:00,2.7,15.684,8.075,0.94
MiniDot1,Tank24,1773705720,3/16/26 14:02,2.7,15.136,8.239,0.941
MiniDot1,Tank24,1773705840,3/16/26 14:04,2.7,14.8,8.643,0.941
MiniDot1,Tank24,1773705960,3/16/26 14:06,2.7,14.619,8.863,0.942
MiniDot1,Tank24,1773706080,3/16/26 14:08,2.7,14.498,8.988,0.943
MiniDot1,Tank24,1773706200,3/16/26 14:10,2.7,14.455,9.046,0.942
MiniDot1,Tank24,1773706320,3/16/26 14:12,2.7,14.403,9.109,0.943
MiniDot1,Tank24,1773706440,3/16/26 14:14,2.7,14.377,9.14,0.943
MiniDot1,Tank24,1773706560,3/16/26 14:16,2.7,14.368,9.154,0.943
MiniDot1,Tank24,1773706680,3/16/26 14:18,2.7,14.351,9.179,0.943
MiniDot1,Tank24,1773706800,3/16/26 14:20,2.7,14.368,9.186,0.944
MiniDot1,Tank24,1773706920,3/16/26 14:22,2.7,14.351,9.208,0.944
MiniDot1,Tank24,1773707040,3/16/26 14:24,2.7,14.386,9.199,0.944
MiniDot1,Tank24,1773707160,3/16/26 14:26,2.7,14.386,9.21,0.944
MiniDot1,Tank24,1773707280,3/16/26 14:28,2.7,14.42,9.188,0.944
MiniDot1,Tank24,1773707400,3/16/26 14:30,2.7,14.429,9.196,0.944
MiniDot1,Tank24,1773707520,3/16/26 14:32,2.7,14.455,9.189,0.944
MiniDot1,Tank24,1773707640,3/16/26 14:34,2.7,14.463,9.207,0.945
MiniDot1,Tank24,1773707760,3/16/26 14:36,2.7,14.498,9.197,0.945
