Time,DateTIme,HST_Time,  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1773796440,3/18/26 1:14,3/17/26 15:14,3.17,22.343,8.264,0.99
1773796560,3/18/26 1:16,3/17/26 15:16,3.16,22.744,8.159,0.99
1773796680,3/18/26 1:18,3/17/26 15:18,3.16,23.029,8.183,0.991
1773796800,3/18/26 1:20,3/17/26 15:20,3.16,23.716,7.922,0.992
1773796920,3/18/26 1:22,3/17/26 15:22,3.16,23.95,7.969,0.994
1773797040,3/18/26 1:24,3/17/26 15:24,3.16,24.143,7.799,0.993
1773797160,3/18/26 1:26,3/17/26 15:26,3.16,24.236,7.276,0.992
1773797280,3/18/26 1:28,3/17/26 15:28,3.16,24.277,7.167,0.992
1773797400,3/18/26 1:30,3/17/26 15:30,3.16,24.328,7.289,0.993
1773797520,3/18/26 1:32,3/17/26 15:32,3.16,24.37,7.159,0.992
1773797640,3/18/26 1:34,3/17/26 15:34,3.16,24.387,7.183,0.992
1773797760,3/18/26 1:36,3/17/26 15:36,3.16,24.412,7.253,0.993
1773797880,3/18/26 1:38,3/17/26 15:38,3.16,24.42,7.128,0.992
1773798000,3/18/26 1:40,3/17/26 15:40,3.17,24.437,7.227,0.993
1773798120,3/18/26 1:42,3/17/26 15:42,3.16,24.462,7.288,0.992
1773798240,3/18/26 1:44,3/17/26 15:44,3.16,24.462,7.326,0.993
1773798360,3/18/26 1:46,3/17/26 15:46,3.16,24.487,7.337,0.993
1773798480,3/18/26 1:48,3/17/26 15:48,3.16,24.47,7.471,0.993
1773798600,3/18/26 1:50,3/17/26 15:50,3.16,24.504,7.59,0.993
1773798720,3/18/26 1:52,3/17/26 15:52,3.16,24.487,7.537,0.993
1773798840,3/18/26 1:54,3/17/26 15:54,3.17,24.512,7.51,0.993
1773798960,3/18/26 1:56,3/17/26 15:56,3.17,24.538,7.446,0.993
1773799080,3/18/26 1:58,3/17/26 15:58,3.16,24.546,7.444,0.993
1773799200,3/18/26 2:00,3/17/26 16:00,3.16,24.58,7.564,0.993
1773799320,3/18/26 2:02,3/17/26 16:02,3.17,24.571,7.406,0.993
1773799440,3/18/26 2:04,3/17/26 16:04,3.16,24.571,7.528,0.993
1773799560,3/18/26 2:06,3/17/26 16:06,3.16,24.596,7.495,0.993
1773799680,3/18/26 2:08,3/17/26 16:08,3.16,24.58,7.579,0.993
1773799800,3/18/26 2:10,3/17/26 16:10,3.16,24.58,7.639,0.994
1773799920,3/18/26 2:12,3/17/26 16:12,3.16,24.613,7.634,0.994
1773800040,3/18/26 2:14,3/17/26 16:14,3.16,24.622,7.667,0.993
1773800160,3/18/26 2:16,3/17/26 16:16,3.16,24.613,7.67,0.993
1773800280,3/18/26 2:18,3/17/26 16:18,3.16,24.622,7.679,0.992
1773800400,3/18/26 2:20,3/17/26 16:20,3.16,24.622,7.707,0.994
1773800520,3/18/26 2:22,3/17/26 16:22,3.16,24.622,7.712,0.994
1773800640,3/18/26 2:24,3/17/26 16:24,3.16,24.605,7.721,0.994
1773800760,3/18/26 2:26,3/17/26 16:26,3.16,24.596,7.68,0.994
1773800880,3/18/26 2:28,3/17/26 16:28,3.16,24.622,7.663,0.994
1773801000,3/18/26 2:30,3/17/26 16:30,3.16,24.588,7.676,0.993
1773801120,3/18/26 2:32,3/17/26 16:32,3.17,24.588,7.664,0.993
1773801240,3/18/26 2:34,3/17/26 16:34,3.16,24.588,7.67,0.993
1773801360,3/18/26 2:36,3/17/26 16:36,3.16,24.58,7.68,0.994
1773801480,3/18/26 2:38,3/17/26 16:38,3.16,24.571,7.685,0.994
1773801600,3/18/26 2:40,3/17/26 16:40,3.16,24.588,7.681,0.993
1773801720,3/18/26 2:42,3/17/26 16:42,3.16,24.58,7.675,0.993
