Serial number,Logger type,Model,Depoyment date,Deployment approx time,Logging frequency,Location
20565253,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 1: MONOA REP2
22235017,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 2: 6SP REP1
20565258,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 3: MONOB REP3
22235018,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 4: FAKEA REP4
20565263,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 5: 3SP REP3
22235019,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 6: MONOA REP3
20565265,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 7: FAKEA REP2
22235021,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 8: FAKEB REP2
20569983,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 9: 3SP REP1
22235020,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 10: MONOB REP1
20714140,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 11: FAKEB REP4
22235027,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 12: FAKEA REP1
20714142,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 13: 6SP REP4
22235026,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 14: MONOB REP4
20565255,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 15: FAKEB REP3
22235025,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 16: 6SP REP2
20565261,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 17: FAKEB REP1
22235022,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 18: MONOA REP4
20565265,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 19: 3SP REP4
22235024,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 20: MONOA REP1
20569922,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 21: MONOB REP2
22235023,MX Temp/Light,MX2202,2/26/26,1-2pm,10min,Tank 22: 3SP REP2
20569985,Tidbit Temp Logger,MX2203,2/26/26,1-2pm,10min,Tank 23: FAKEA REP3 
IN TANK - NEED TO WRITE SERIAL NUMBER!!,,,3/9/26,1-2pm,10min,Tank 24: 6SP REP3
