date,tank,day_night,timepoint,treatment,notes
4/1/26,1,day,4/1/26 12:00,MONOA,
4/1/26,2,day,4/1/26 12:00,6SP,
4/1/26,3,day,4/1/26 12:00,MONOB,
4/1/26,4,day,4/1/26 12:00,FAKEA,
4/1/26,5,day,4/1/26 12:00,3SP,
4/1/26,6,day,4/1/26 12:00,MONOA,
4/1/26,7,day,4/1/26 12:00,FAKEA,
4/1/26,8,day,4/1/26 12:00,FAKEB,
4/1/26,9,day,4/1/26 12:00,3SP,
4/1/26,10,day,4/1/26 12:00,MONOB,
4/1/26,11,day,4/1/26 12:00,FAKEB,
4/1/26,12,day,4/1/26 12:00,FAKEA,
4/1/26,13,day,4/1/26 12:00,6SP,
4/1/26,14,day,4/1/26 12:00,MONOB,
4/1/26,15,day,4/1/26 12:00,FAKEB,
4/1/26,16,day,4/1/26 12:00,6SP,
4/1/26,17,day,4/1/26 12:00,FAKEB,
4/1/26,18,day,4/1/26 12:00,MONOA,
4/1/26,19,day,4/1/26 12:00,3SP,
4/1/26,20,day,4/1/26 12:00,MONOA,
4/1/26,21,day,4/1/26 12:00,MONOB,
4/1/26,22,day,4/1/26 12:00,FAKEA,
4/1/26,23,day,4/1/26 12:00,3SP,
4/1/26,24,day,4/1/26 12:00,6SP,
4/1/26,S1,day,4/1/26 12:00,sump,
4/1/26,S2,day,4/1/26 12:00,sump,
4/1/26,S3,day,4/1/26 12:00,sump,
4/1/26,S4,day,4/1/26 12:00,sump,
4/1/26,S5,day,4/1/26 12:00,sump,
4/1/26,S6,day,4/1/26 12:00,sump,
4/1/26,1,night,4/1/26 21:00,MONOA,
4/1/26,2,night,4/1/26 21:00,6SP,
4/1/26,3,night,4/1/26 21:00,MONOB,
4/1/26,4,night,4/1/26 21:00,FAKEA,
4/1/26,5,night,4/1/26 21:00,3SP,
4/1/26,6,night,4/1/26 21:00,MONOA,
4/1/26,7,night,4/1/26 21:00,FAKEA,
4/1/26,8,night,4/1/26 21:00,FAKEB,
4/1/26,9,night,4/1/26 21:00,3SP,
4/1/26,10,night,4/1/26 21:00,MONOB,
4/1/26,11,night,4/1/26 21:00,FAKEB,
4/1/26,12,night,4/1/26 21:00,FAKEA,
4/1/26,13,night,4/1/26 21:00,6SP,
4/1/26,14,night,4/1/26 21:00,MONOB,
4/1/26,15,night,4/1/26 21:00,FAKEB,
4/1/26,16,night,4/1/26 21:00,6SP,
4/1/26,17,night,4/1/26 21:00,FAKEB,
4/1/26,18,night,4/1/26 21:00,MONOA,
4/1/26,19,night,4/1/26 21:00,3SP,
4/1/26,20,night,4/1/26 21:00,MONOA,
4/1/26,21,night,4/1/26 21:00,MONOB,
4/1/26,22,night,4/1/26 21:00,FAKEA,
4/1/26,23,night,4/1/26 21:00,3SP,
4/1/26,24,night,4/1/26 21:00,6SP,
4/1/26,S1,night,4/1/26 21:00,sump,
4/1/26,S2,night,4/1/26 21:00,sump,
4/1/26,S3,night,4/1/26 21:00,sump,
4/1/26,S4,night,4/1/26 21:00,sump,
4/1/26,S5,night,4/1/26 21:00,sump,
4/1/26,S6,night,4/1/26 21:00,sump,
3/27/26,1,day,3/27/26 12:00,MONOA,all 3/27 bottles are labeled as 3/25 since sampling was pushed later
3/27/26,2,day,3/27/26 12:00,6SP,
3/27/26,3,day,3/27/26 12:00,MONOB,
3/27/26,4,day,3/27/26 12:00,FAKEA,
3/27/26,5,day,3/27/26 12:00,3SP,
3/27/26,6,day,3/27/26 12:00,MONOA,
3/27/26,7,day,3/27/26 12:00,FAKEA,
3/27/26,8,day,3/27/26 12:00,FAKEB,
