date,sump,temp_sump,timepoint,time,pH_sump,mV_sump,sal_sump,cond_sump,DO_sump
3/9/26,S5,24.564,3/9/26 18:30,19:07,8.12,-61.8,35.46,53.63,6.8
3/9/26,S6,24.567,3/9/26 18:30,19:17,8.12,-61.7,35.44,53.61,6.77
3/9/26,S1,24.564,3/9/26 18:30,19:00,8.12,-61.8,35.44,53.62,6.8
3/9/26,S2,24.565,3/9/26 18:30,19:02,8.12,-61.7,35.45,53.63,6.82
3/9/26,S3,24.596,3/9/26 18:30,19:03,8.12,-61.8,35.44,53.62,6.78
3/9/26,S4,24.56,3/9/26 18:30,18:57,8.12,-61.8,35.43,53.61,6.81
3/9/26,S1,24.065,3/9/26 20:30,21:16,8.11,-61.3,35.46,53.63,6.68
3/9/26,S2,24.602,3/9/26 20:30,20:39,8.11,-61.3,35.46,53.63,6.74
3/9/26,S3,24.606,3/9/26 20:30,20:48,8.11,-61.5,35.47,53.65,6.72
3/9/26,S4,24.624,3/9/26 20:30,20:52,8.11,-61.5,35.44,53.63,6.72
3/9/26,S5,24.614,3/9/26 20:30,21:01,8.11,-61.5,35.47,53.66,6.72
3/9/26,S6,24.591,3/9/26 20:30,21:06,8.11,-61.4,35.46,53.64,6.69
3/10/26,S1,24.488,3/10/26 12:00,12:34,8.09,-60.6,35.56,53.74,6.56
3/10/26,S2,25.155,3/10/26 12:00,13:15,8.08,-60.3,35.48,53.61,6.56
3/10/26,S3,24.982,3/10/26 12:00,12:37,8.09,-60.8,35.55,53.74,6.56
3/10/26,S4,25.133,3/10/26 12:00,13:16,8.09,-60.6,35.58,53.73,6.58
3/10/26,S5,25.016,3/10/26 12:00,12:39,8.09,-60.7,35.52,53.76,6.5
3/10/26,S6,25.155,3/10/26 12:00,13:19,8.09,-60.6,35.58,53.78,6.55
3/10/26,S1,24.734,3/10/26 21:00,20:48,8.08,-59.9,35.64,53.88,6.59
3/10/26,S2,24.71,3/10/26 21:00,20:50,8.08,-60.0,35.65,53.89,6.77
3/10/26,S3,24.775,3/10/26 21:00,20:52,8.08,-60.0,35.65,53.9,6.52
3/10/26,S4,24.73,3/10/26 21:00,20:54,8.08,-60.1,35.65,53.88,6.53
3/10/26,S5,24.738,3/10/26 21:00,20:56,8.08,-59.9,35.65,53.9,6.46
3/10/26,S6,24.698,3/10/26 21:00,20:58,8.08,-59.8,35.64,53.88,6.47
3/11/26,S1,25.12,3/11/26 12:00,12:50,8.11,-62.0,35.87,54.16,6.73
3/11/26,S2,25.21,3/11/26 12:00,12:52,8.11,-62.0,35.88,54.16,6.73
