date,tank,day_night,timepoint,time,temp,pH,mV,sal,cond,DO,coral_no,treatment,sump,period,flow_mL_30s,res_time_25gal,species,bad,notes
3/25/26,22,day,3/25/26 12:00,NA,NA,NA,NA,NA,NA,NA,,FAKEA,S6,experiment,,,,yes,
3/25/26,20,night,3/25/26 21:00,20:27,22.862,8.02,-49,31.74,48.58,6.78,,MONOA,S6,experiment,,,,no,
3/18/26,12,day,3/18/26 12:00,12:24,27.61,8.11,-63.6,36.08,54.28,6.69,,FAKEA,S3,experiment,,,,no,
3/18/26,13,day,3/18/26 12:00,12:26,27.501,8.13,-64.9,36.06,54.26,6.95,,6SP,S3,experiment,,,,no,
3/18/26,23,day,3/18/26 12:00,12:42,27.424,8.18,-67.5,36.08,54.29,7.22,,3SP,S5,experiment,,,,no,
3/18/26,14,day,3/18/26 12:00,12:27,27.409,8.13,-65,36.06,54.27,6.79,,MONOB,S3,experiment,,,,no,
3/18/26,20,day,3/18/26 12:00,12:36,27.38,8.14,-65.4,36.09,54.31,7.02,,MONOA,S6,experiment,,,,no,
3/18/26,18,day,3/18/26 12:00,12:34,27.341,8.15,-65.9,36.11,54.34,7.01,,MONOA,S5,experiment,,,,no,
3/18/26,10,day,3/18/26 12:00,12:21,27.338,8.13,-64.8,36.08,54.3,6.94,,MONOB,S4,experiment,,,,no,
3/18/26,11,day,3/18/26 12:00,12:22,27.32,8.11,-63.5,36.07,54.29,6.76,,FAKEB,S3,experiment,,,,no,
3/18/26,19,day,3/18/26 12:00,12:35,27.247,8.13,-64.7,36.09,54.32,6.9,,3SP,S6,experiment,,,,no,
3/18/26,21,day,3/18/26 12:00,12:38,27.236,8.14,-65.2,36.09,54.31,6.92,,MONOB,S6,experiment,,,,no,
3/18/26,24,day,3/18/26 12:00,12:43,27.232,8.16,-66.6,36.08,54.31,7.01,,6SP,S5,experiment,,,,no,
3/25/26,11,day,3/25/26 12:00,12:17,27.203,8.16,-57.7,32.88,50,7.43,,FAKEB,S3,experiment,,,,no,
3/18/26,22,day,3/18/26 12:00,12:39,27.186,8.14,-65.5,36.08,54.3,7.04,,FAKEA,S6,experiment,,,,no,
