sample_ID,timepoint,salinity_lab,temp,full_ID
b1r1,T0,34.98,,b1r1_T0
b2r1,T0,34.98,,b2r1_T0
b3r1,T0,34.97,,b3r1_T0
01r1,T0,35.01,,01r1_T0
02r1,T0,35.02,,02r1_T0
03r1,T0,35.03,,03r1_T0
04r1,T0,35.04,,04r1_T0
05r1,T0,35.04,,05r1_T0
06r1,T0,35.03,,06r1_T0
07r1,T0,35.05,,07r1_T0
08r1,T0,35.07,,08r1_T0
09r1,T0,35.06,,09r1_T0
10r1,T0,35.05,,10r1_T0
11r1,T0,35.02,,11r1_T0
12r1,T0,35.01,,12r1_T0
b1r2,T0,35.07,,b1r2_T0
b2r2,T0,35.07,,b2r2_T0
b3r2,T0,35.07,,b3r2_T0
01r2,T0,35.13,,01r2_T0
02r2,T0,35.13,,02r2_T0
03r2,T0,35.13,,03r2_T0
04r2,T0,35.11,,04r2_T0
05r2,T0,35.12,,05r2_T0
06r2,T0,35.17,,06r2_T0
07r2,T0,35.14,,07r2_T0
08r2,T0,35.10,,08r2_T0
09r2,T0,35.10,,09r2_T0
10r2,T0,35.09,,10r2_T0
11r2,T0,35.10,,11r2_T0
12r2,T0,35.08,,12r2_T0
b1r9,T0,35.61,,b1r9_T0
b2r9,T0,35.36,,b2r9_T0
b3r9,T0,35.61,,b3r9_T0
01r9,T0,35.60,,01r9_T0
02r9,T0,35.59,,02r9_T0
03r9,T0,35.63,,03r9_T0
04r9,T0,35.59,,04r9_T0
05r9,T0,35.60,,05r9_T0
06r9,T0,35.62,,06r9_T0
07r9,T0,35.58,,07r9_T0
08r9,T0,35.60,,08r9_T0
09r9,T0,35.62,,09r9_T0
10r9,T0,35.60,,10r9_T0
11r9,T0,35.63,,11r9_T0
12r9,T0,35.62,,12r9_T0
b1r10,T0,35.63,,b1r10_T0
b2r10,T0,35.63,,b2r10_T0
b3r10,T0,35.63,,b3r10_T0
01r10,T0,35.66,,01r10_T0
02r10,T0,35.63,,02r10_T0
03r10,T0,35.67,,03r10_T0
04r10,T0,35.66,,04r10_T0
05r10,T0,35.67,,05r10_T0
06r10,T0,35.67,,06r10_T0
07r10,T0,35.67,,07r10_T0
08r10,T0,35.67,,08r10_T0
09r10,T0,35.64,,09r10_T0
10r10,T0,35.66,,10r10_T0
11r10,T0,35.67,,11r10_T0
12r10,T0,35.67,,12r10_T0
b1r11,T0,35.66,,b1r11_T0
b2r11,T0,35.65,,b2r11_T0
b3r11,T0,35.63,,b3r11_T0
01r11,T0,35.65,,01r11_T0
02r11,T0,35.63,,02r11_T0
03r11,T0,35.65,,03r11_T0
04r11,T0,35.67,,04r11_T0
05r11,T0,35.68,,05r11_T0
06r11,T0,35.66,,06r11_T0
07r11,T0,35.66,,07r11_T0
08r11,T0,35.65,,08r11_T0
09r11,T0,35.65,,09r11_T0
10r11,T0,35.66,,10r11_T0
11r11,T0,35.69,,11r11_T0
12r11,T0,35.65,,12r11_T0
b1r12,T0,35.63,,b1r12_T0
b2r12,T0,35.62,,b2r12_T0
b3r12,T0,35.64,,b3r12_T0
01r12,T0,35.66,,01r12_T0
02r12,T0,35.67,,02r12_T0
03r12,T0,35.66,,03r12_T0
04r12,T0,35.67,,04r12_T0
05r12,T0,35.65,,05r12_T0
06r12,T0,35.66,,06r12_T0
07r12,T0,35.69,,07r12_T0
08r12,T0,35.64,,08r12_T0
09r12,T0,35.68,,09r12_T0
10r12,T0,35.70,,10r12_T0
11r12,T0,35.66,,11r12_T0
12r12,T0,35.69,,12r12_T0
b1r13,T0,35.66,,b1r13_T0
b2r13,T0,35.66,,b2r13_T0
b3r13,T0,35.67,,b3r13_T0
01r13,T0,35.67,,01r13_T0
02r13,T0,35.66,,02r13_T0
03r13,T0,35.68,,03r13_T0
04r13,T0,35.68,,04r13_T0
05r13,T0,35.71,,05r13_T0
06r13,T0,35.70,,06r13_T0
07r13,T0,35.66,,07r13_T0
08r13,T0,35.72,,08r13_T0
09r13,T0,35.67,,09r13_T0
10r13,T0,35.67,,10r13_T0
b1r14,T0,34.60,,b1r14_T0
b2r14,T0,34.60,,b2r14_T0
b3r14,T0,34.63,,b3r14_T0
01r14,T0,34.61,,01r14_T0
02r14,T0,34.63,,02r14_T0
03r14,T0,34.64,,03r14_T0
04r14,T0,34.67,,04r14_T0
05r14,T0,34.65,,05r14_T0
07r14,T0,34.61,,07r14_T0
08r14,T0,34.63,,08r14_T0
09r14,T0,34.62,,09r14_T0
10r14,T0,34.64,,10r14_T0
12r14,T0,34.66,,12r14_T0
b1r3,T0,35.03,,b1r3_T0
b2r3,T0,35.03,,b2r3_T0
b3r3,T0,35.04,,b3r3_T0
01r3,T0,35.07,,01r3_T0
02r3,T0,35.11,,02r3_T0
03r3,T0,35.15,,03r3_T0
04r3,T0,35.15,,04r3_T0
05r3,T0,35.15,,05r3_T0
06r3,T0,35.15,,06r3_T0
07r3,T0,35.12,,07r3_T0
08r3,T0,35.06,,08r3_T0
09r3,T0,35.13,,09r3_T0
10r3,T0,35.12,,10r3_T0
11r3,T0,35.13,,11r3_T0
12r3,T0,35.14,,12r3_T0
b1r4,T0,35.11,,b1r4_T0
b2r4,T0,35.09,,b2r4_T0
b3r4,T0,35.10,,b3r4_T0
01r4,T0,35.14,,01r4_T0
02r4,T0,35.14,,02r4_T0
03r4,T0,35.12,,03r4_T0
04r4,T0,35.13,,04r4_T0
05r4,T0,35.18,,05r4_T0
06r4,T0,35.11,,06r4_T0
07r4,T0,35.17,,07r4_T0
08r4,T0,35.18,,08r4_T0
09r4,T0,35.13,,09r4_T0
10r4,T0,35.15,,10r4_T0
11r4,T0,35.16,,11r4_T0
12r4,T0,35.17,,12r4_T0
b1r5,T0,35.11,,b1r5_T0
b2r5,T0,35.12,,b2r5_T0
b3r5,T0,35.11,,b3r5_T0
01r5,T0,35.14,,01r5_T0
02r5,T0,35.12,,02r5_T0
03r5,T0,35.12,,03r5_T0
