tris_date,time,Ttris,mvTris,tris_tube,tris_bottle,notes
2/18/26,,28.847,-61.5,624 2/15/26,624 2/15/26,
2/18/26,,27.898,-62.9,624 2/15/26,624 2/15/26,
2/18/26,,26.876,-64.2,624 2/15/26,624 2/15/26,
2/18/26,,25.903,-65.6,624 2/15/26,624 2/15/26,
2/18/26,,24.911,-67,624 2/15/26,624 2/15/26,
2/18/26,,23.953,-68.4,624 2/15/26,624 2/15/26,
2/18/26,,22.931,-69.9,624 2/15/26,624 2/15/26,
2/18/26,,21.943,-71.4,624 2/15/26,624 2/15/26,
2/18/26,,20.905,-72.9,624 2/15/26,624 2/15/26,
2/18/26,,19.969,-74.5,624 2/15/26,624 2/15/26,
3/5/26,,27.129,-65.2,AC 3/5/26,HIMB 3/5/26,
3/5/26,,25.977,-67,AC 3/5/26,HIMB 3/5/26,
3/5/26,,24.705,-68.5,AC 3/5/26,HIMB 3/5/26,
3/5/26,,23.84,-70.3,AC 3/5/26,HIMB 3/5/26,
3/5/26,,23.019,-72.4,AC 3/5/26,HIMB 3/5/26,
3/5/26,,21.859,-73.9,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,27.067,-65.6,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,25.803,-66.7,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,25.066,-68,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,24.136,-69.5,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,22.954,-71,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,22.1,-72.3,AC 3/5/26,HIMB 3/5/26,
3/9/26,11:00,21.168,-73.4,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,28.062,-64.4,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,27.061,-651,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,26.15,-66.4,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,25.027,-67.8,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,24.109,-69.1,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,23.104,-70.1,AC 3/5/26,HIMB 3/5/26,
3/10/26,11:30,22.062,-71.8,AC 3/5/26,HIMB 3/5/26,
3/13/26,10:00,26.808,-65.6,624 2/15/26,624 2/15/26,
3/13/26,10:00,26.091,-66.5,624 2/15/26,624 2/15/26,
3/13/26,10:00,25.018,-68,624 2/15/26,624 2/15/26,
3/13/26,10:00,24.068,-69.6,624 2/15/26,624 2/15/26,
3/13/26,10:00,23.065,-70.7,624 2/15/26,624 2/15/26,
3/13/26,10:00,22.036,-72.3,624 2/15/26,624 2/15/26,
3/17/26,15:00,26.734,-63.8,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,26.053,-64.8,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,25.04,-66.6,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,24.075,-68.2,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,22.999,-69.6,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,21.774,-71,AC 3/5/26,HIMB 3/5/26,
3/17/26,15:00,20.729,-72.4,AC 3/5/26,HIMB 3/5/26,
