"UniqueID","run_name","run_order","sample","group","SEM_file","blank1","blank2","ABS_file"
"BIOFAC_31","run2",1,"Group001Sample0001","Group001","Group001Sample0001SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0001ABS.dat"
"BIOFAC_32","run2",2,"Group001Sample0002","Group001","Group001Sample0002SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0002ABS.dat"
"BIOFAC_33","run2",3,"Group001Sample0003","Group001","Group001Sample0003SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0003ABS.dat"
"BIOFAC_34","run2",4,"Group001Sample0004","Group001","Group001Sample0004SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0004ABS.dat"
"BIOFAC_35","run2",5,"Group001Sample0005","Group001","Group001Sample0005SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0005ABS.dat"
"BIOFAC_36","run2",6,"Group001Sample0006","Group001","Group001Sample0006SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0006ABS.dat"
"BIOFAC_37","run2",7,"Group001Sample0007","Group001","Group001Sample0007SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0007ABS.dat"
"BIOFAC_38","run2",8,"Group001Sample0008","Group001","Group001Sample0008SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0008ABS.dat"
"BIOFAC_39","run2",9,"Group001Sample0009","Group001","Group001Sample0009SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0009ABS.dat"
"BIOFAC_40","run2",10,"Group001Sample0010","Group001","Group001Sample0010SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0010ABS.dat"
"BIOFAC_41","run2",11,"Group002Sample0001","Group002","Group002Sample0001SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0001ABS.dat"
"BIOFAC_42","run2",12,"Group002Sample0002","Group002","Group002Sample0002SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0002ABS.dat"
"BIOFAC_43","run2",13,"Group002Sample0003","Group002","Group002Sample0003SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0003ABS.dat"
"BIOFAC_44","run2",14,"Group002Sample0004","Group002","Group002Sample0004SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0004ABS.dat"
"BIOFAC_45","run2",15,"Group002Sample0005","Group002","Group002Sample0005SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0005ABS.dat"
"BIOFAC_46","run2",16,"Group002Sample0006","Group002","Group002Sample0006SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0006ABS.dat"
"BIOFAC_47","run2",17,"Group002Sample0007","Group002","Group002Sample0007SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0007ABS.dat"
"BIOFAC_48","run2",18,"Group002Sample0008","Group002","Group002Sample0008SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0008ABS.dat"
"BIOFAC_49","run2",19,"Group002Sample0009","Group002","Group002Sample0009SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0009ABS.dat"
"BIOFAC_50","run2",20,"Group002Sample0010","Group002","Group002Sample0010SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0010ABS.dat"
"BIOFAC_51","run2",21,"Group003Sample0001","Group003","Group003Sample0001SEM.dat","Group003Sample0001BEM.dat","Group001Sample0001BEM.dat","Group003Sample0001ABS.dat"
"BIOFAC_52","run2",22,"Group003Sample0002","Group003","Group003Sample0002SEM.dat","Group003Sample0001BEM.dat","Group001Sample0001BEM.dat","Group003Sample0002ABS.dat"
"BIOFAC_53","run2",23,"Group003Sample0003","Group003","Group003Sample0003SEM.dat","Group003Sample0001BEM.dat","Group001Sample0001BEM.dat","Group003Sample0003ABS.dat"
