SampleNumber	UniqueID
1	BLANK1
2	BIOFAC_181
3	BIOFAC_182
4	BIOFAC_183
5	BIOFAC_184
6	BIOFAC_185
7	BIOFAC_186
8	BIOFAC_187
9	BIOFAC_188
10	BIOFAC_189
11	BIOFAC_190
12	BLANK2
13	BIOFAC_191
14	BIOFAC_192
15	BIOFAC_193
16	BIOFAC_194
17	BIOFAC_195
18	BIOFAC_196
19	BIOFAC_197
20	BIOFAC_198
21	BIOFAC_199
22	BIOFAC_200
23	BLANK3
24	BIOFAC_201
25	BIOFAC_202
26	BIOFAC_203
27	BIOFAC_204
28	BIOFAC_205
29	BIOFAC_206
30	BIOFAC_207
31	BIOFAC_208
32	BIOFAC_209
33	BIOFAC_210
34	BLANK4
35	BIOFAC_211
36	BIOFAC_212
37	BIOFAC_213
38	BIOFAC_214
39	BIOFAC_215
40	BIOFAC_216
41	BIOFAC_217
42	BIOFAC_218
43	BIOFAC_219
44	BIOFAC_220
45	BLANK5
46	BIOFAC_221
47	BIOFAC_222
48	BIOFAC_223
49	BIOFAC_224
50	BIOFAC_225
51	BIOFAC_226
52	BIOFAC_227
53	BIOFAC_228
54	BIOFAC_229
55	BIOFAC_230
56	BLANK6
57	BIOFAC_231
58	BIOFAC_232
59	BIOFAC_233
60	BIOFAC_234
61	BIOFAC_235
62	BIOFAC_236
63	BIOFAC_237
64	BIOFAC_238
65	BIOFAC_239
