UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
BIOFAC_348,run8,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
BIOFAC_349,run8,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
BIOFAC_350,run8,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
BIOFAC_351,run8,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
BIOFAC_352,run8,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
BIOFAC_353,run8,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
BIOFAC_354,run8,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
BIOFAC_355,run8,8,Group001Sample0008,Group001,Group001Sample0008SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0008ABS.dat
BIOFAC_356,run8,9,Group001Sample0009,Group001,Group001Sample0009SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0009ABS.dat
BIOFAC_357,run8,10,Group001Sample0010,Group001,Group001Sample0010SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0010ABS.dat
BIOFAC_358,run8,11,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0001ABS.dat
BIOFAC_359,run8,12,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0002ABS.dat
BIOFAC_360,run8,13,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0003ABS.dat
BIOFAC_361,run8,14,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0004ABS.dat
BIOFAC_362,run8,15,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0005ABS.dat
BIOFAC_363,run8,16,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0006ABS.dat
BIOFAC_364,run8,17,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0007ABS.dat
BIOFAC_365,run8,18,Group002Sample0008,Group002,Group002Sample0008SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0008ABS.dat
BIOFAC_366,run8,19,Group002Sample0009,Group002,Group002Sample0009SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0009ABS.dat
BIOFAC_367,run8,20,Group002Sample0010,Group002,Group002Sample0010SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group002Sample0010ABS.dat
BIOFAC_368,run8,21,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0001ABS.dat
BIOFAC_369,run8,22,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0002ABS.dat
BIOFAC_370,run8,23,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0003ABS.dat
BIOFAC_371,run8,24,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0004ABS.dat
BIOFAC_372,run8,25,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0005ABS.dat
BIOFAC_373,run8,26,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group002Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0006ABS.dat
