sample_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank
A01_1_6SP,A01,6SP,1,Porites compressa,PCOM,TANK2
A02_1_6SP,A02,6SP,1,Porites compressa,PCOM,TANK2
A03_1_6SP,A03,6SP,1,Porites compressa,PCOM,TANK2
A04_1_6SP,A04,6SP,1,Porites compressa,PCOM,TANK2
A05_1_6SP,A05,6SP,1,Porites compressa,PCOM,TANK16
A06_1_6SP,A06,6SP,1,Porites compressa,PCOM,TANK16
A07_1_6SP,A07,6SP,1,Porites compressa,PCOM,TANK16
A08_1_6SP,A08,6SP,1,Porites compressa,PCOM,TANK16
A09_1_6SP,A09,6SP,1,Porites compressa,PCOM,TANK24
A10_1_6SP,A10,6SP,1,Porites compressa,PCOM,TANK24
A11_1_6SP,A11,6SP,1,Porites compressa,PCOM,TANK24
A12_1_6SP,A12,6SP,1,Porites compressa,PCOM,TANK24
A13_1_6SP,A13,6SP,1,Porites compressa,PCOM,TANK13
A14_1_6SP,A14,6SP,1,Porites compressa,PCOM,TANK13
A15_1_6SP,A15,6SP,1,Porites compressa,PCOM,TANK13
A16_1_6SP,A16,6SP,1,Porites compressa,PCOM,TANK13
B01_1_6SP,B01,6SP,1,Montipora capitata,MCAP,TANK2
B02_1_6SP,B02,6SP,1,Montipora capitata,MCAP,TANK2
B03_1_6SP,B03,6SP,1,Montipora capitata,MCAP,TANK2
B04_1_6SP,B04,6SP,1,Montipora capitata,MCAP,TANK2
B05_1_6SP,B05,6SP,1,Montipora capitata,MCAP,TANK16
B06_1_6SP,B06,6SP,1,Montipora capitata,MCAP,TANK16
B07_1_6SP,B07,6SP,1,Montipora capitata,MCAP,TANK16
B08_1_6SP,B08,6SP,1,Montipora capitata,MCAP,TANK16
B09_1_6SP,B09,6SP,1,Montipora capitata,MCAP,TANK24
B10_1_6SP,B10,6SP,1,Montipora capitata,MCAP,TANK24
B11_1_6SP,B11,6SP,1,Montipora capitata,MCAP,TANK24
B12_1_6SP,B12,6SP,1,Montipora capitata,MCAP,TANK24
B13_1_6SP,B13,6SP,1,Montipora capitata,MCAP,TANK13
B14_1_6SP,B14,6SP,1,Montipora capitata,MCAP,TANK13
B15_1_6SP,B15,6SP,1,Montipora capitata,MCAP,TANK13
B16_1_6SP,B16,6SP,1,Montipora capitata,MCAP,TANK13
C01_1_6SP,C01,6SP,1,Pocillopora meandrina,PMEA,TANK2
C02_1_6SP,C02,6SP,1,Pocillopora meandrina,PMEA,TANK2
C03_1_6SP,C03,6SP,1,Pocillopora meandrina,PMEA,TANK2
C04_1_6SP,C04,6SP,1,Pocillopora meandrina,PMEA,TANK2
C05_1_6SP,C05,6SP,1,Pocillopora meandrina,PMEA,TANK16
C06_1_6SP,C06,6SP,1,Pocillopora meandrina,PMEA,TANK16
C07_1_6SP,C07,6SP,1,Pocillopora meandrina,PMEA,TANK16
C08_1_6SP,C08,6SP,1,Pocillopora meandrina,PMEA,TANK16
C09_1_6SP,C09,6SP,1,Pocillopora meandrina,PMEA,TANK24
C10_1_6SP,C10,6SP,1,Pocillopora meandrina,PMEA,TANK24
C11_1_6SP,C11,6SP,1,Pocillopora meandrina,PMEA,TANK24
C12_1_6SP,C12,6SP,1,Pocillopora meandrina,PMEA,TANK24
C13_1_6SP,C13,6SP,1,Pocillopora meandrina,PMEA,TANK13
C14_1_6SP,C14,6SP,1,Pocillopora meandrina,PMEA,TANK13
C15_1_6SP,C15,6SP,1,Pocillopora meandrina,PMEA,TANK13
C16_1_6SP,C16,6SP,1,Pocillopora meandrina,PMEA,TANK13
D01_1_6SP,D01,6SP,1,Pavona varians,PVAR,TANK2
D02_1_6SP,D02,6SP,1,Pavona varians,PVAR,TANK2
D03_1_6SP,D03,6SP,1,Pavona varians,PVAR,TANK2
D04_1_6SP,D04,6SP,1,Pavona varians,PVAR,TANK2
D05_1_6SP,D05,6SP,1,Pavona varians,PVAR,TANK16
D06_1_6SP,D06,6SP,1,Pavona varians,PVAR,TANK16
D07_1_6SP,D07,6SP,1,Pavona varians,PVAR,TANK16
D08_1_6SP,D08,6SP,1,Pavona varians,PVAR,TANK16
D09_1_6SP,D09,6SP,1,Pavona varians,PVAR,TANK24
D10_1_6SP,D10,6SP,1,Pavona varians,PVAR,TANK24
D11_1_6SP,D11,6SP,1,Pavona varians,PVAR,TANK24
D12_1_6SP,D12,6SP,1,Pavona varians,PVAR,TANK24
D13_1_6SP,D13,6SP,1,Pavona varians,PVAR,TANK13
D14_1_6SP,D14,6SP,1,Pavona varians,PVAR,TANK13
D15_1_6SP,D15,6SP,1,Pavona varians,PVAR,TANK13
D16_1_6SP,D16,6SP,1,Pavona varians,PVAR,TANK13
E01_1_6SP,E01,6SP,1,Leptastrea purpurea,LPUR,TANK2
E02_1_6SP,E02,6SP,1,Leptastrea purpurea,LPUR,TANK2
E03_1_6SP,E03,6SP,1,Leptastrea purpurea,LPUR,TANK2
E04_1_6SP,E04,6SP,1,Leptastrea purpurea,LPUR,TANK2
E05_1_6SP,E05,6SP,1,Leptastrea purpurea,LPUR,TANK16
E06_1_6SP,E06,6SP,1,Leptastrea purpurea,LPUR,TANK16
E07_1_6SP,E07,6SP,1,Leptastrea purpurea,LPUR,TANK16
E08_1_6SP,E08,6SP,1,Leptastrea purpurea,LPUR,TANK16
E09_1_6SP,E09,6SP,1,Leptastrea purpurea,LPUR,TANK24
E10_1_6SP,E10,6SP,1,Leptastrea purpurea,LPUR,TANK24
