date,tank,temp,pH_time,pH,mV,DO,sal,cond,coral_no,treatment,species,flow_mL_30s,res_time_25gal,notes
3/6/26,12,26.051,15:32,8.16,NA,6.95,34.95,NA,no,acclimation,,281,2.81,
3/6/26,24,25.61,15:33,8.16,NA,7.06,34.96,NA,coral,acclimation,PCOM,476,1.99,
3/6/26,23,25.787,15:34,8.17,NA,7.05,34.97,NA,coral,acclimation,PCOM,600,1.58,
3/6/26,22,25.103,15:36,8.14,NA,6.93,34.92,NA,coral,acclimation,MCAP,280,3.38,
3/6/26,21,25.235,15:38,8.2,NA,6.97,35.19,NA,coral,acclimation,MCAP,93,10.18,
3/6/26,20,25.688,15:40,8.2,NA,6.98,35.03,NA,coral,acclimation,PMEA,280,3.38,
3/6/26,19,25.825,15:42,8.18,NA,7,35.04,NA,coral,acclimation,PCOM,107,8.84,
3/6/26,18,25.62,15:44,8.17,NA,7.14,35.01,NA,coral,acclimation,MIX,290,3.26,
3/6/26,17,25.601,15:45,8.17,NA,7.08,34.97,NA,coral,acclimation,MCAP,387,2.45,
3/6/26,12,26.872,14:03,8.16,-65.2,7.15,35.4,53.41,no,acclimation,,,,no shade so warmer
3/6/26,24,25.372,14:02,8.15,-64.5,7.17,35.23,53.26,coral,acclimation,PCOM,,,
3/6/26,23,25.106,14:05,8.15,-64.1,7.23,35.2,53.24,coral,acclimation,PCOM,,,
3/6/26,22,25.631,14:06,8.2,-67.6,7.33,35.22,53.24,coral,acclimation,MCAP,,,
3/6/26,21,25.829,14:08,8.18,-66.2,7.43,35.32,53.37,coral,acclimation,MCAP,,,
3/6/26,20,25.375,14:09,8.2,-67.5,7.43,35.23,53.28,coral,acclimation,PMEA,,,
3/6/26,19,25.405,14:11,8.18,-66,7.39,35.29,53.36,coral,acclimation,PCOM,,,
3/6/26,18,25.174,14:12,8.17,-65.6,7.36,35.23,53.3,coral,acclimation,MIX,,,
3/6/26,17,25.165,14:14,8.18,-66.3,7.34,35.22,53.27,coral,acclimation,MCAP,,,
3/6/26,12,24.286,18:28,8.12,-62.6,6.83,34.99,53.02,no,acclimation,,,,
3/6/26,24,24.284,18:33,8.14,-63.5,6.84,34.98,53.02,coral,acclimation,PCOM,,,
3/6/26,23,24.344,18:36,8.155,-64.4,6.81,35.01,53.04,coral,acclimation,PCOM,,,
3/6/26,22,24.402,18:38,8.11,-62.1,6.75,34.96,52.99,coral,acclimation,MCAP,,,
3/6/26,21,25.12,18:41,8.18,-66.3,6.59,35.13,53.15,coral,acclimation,MCAP,,,
3/6/26,20,24.391,18:43,8.15,-64.1,6.6,35.02,53.07,coral,acclimation,PMEA,,,
3/6/26,19,24.378,18:44,8.17,-65.6,6.83,35.05,53.11,coral,acclimation,PCOM,,,
3/6/26,18,24.184,18:46,8.16,-64.5,6.81,35.04,53.1,coral,acclimation,MIX,,,
3/6/26,17,24.165,18:47,8.16,-64.5,6.78,35.01,53.07,coral,acclimation,MCAP,,,
3/6/26,12,23.321,20:46,8.12,-62.4,6.81,35.06,53.21,no,acclimation,,,,
3/6/26,24,23.412,20:48,8.1,-61.3,6.7,35.02,53.15,coral,acclimation,PCOM,,,
3/6/26,23,23.321,20:50,8.1,-61.2,6.64,35.04,53.18,coral,acclimation,PCOM,,,
3/6/26,22,23.704,20:51,8.1,-61,6.69,35,53.08,coral,acclimation,MCAP,,,
3/6/26,21,23.567,20:53,8.15,-64.1,6.64,35.15,53.31,coral,acclimation,MCAP,,,
3/6/26,20,23.484,20:55,8.12,-62,6.68,35.04,53.16,coral,acclimation,PMEA,,,
3/6/26,19,23.647,20:57,8.14,-63.2,6.74,35.05,53.16,coral,acclimation,PCOM,,,
3/6/26,18,23.459,20:58,8.12,-62.5,6.73,35.03,53.16,coral,acclimation,MIX,,,
3/6/26,17,23.615,21:00,8.12,-62,6.75,35,53.11,coral,acclimation,MCAP,,,
3/7/26,12,25.632,11:11,8.12,-63,6.92,35.35,53.42,no,acclimation,,,,
3/7/26,24,24.056,11:14,8.09,-60.4,7.37,35.35,53.52,coral,acclimation,PCOM,300,2.63,
3/7/26,23,24.07,11:15,8.09,-57.7,7.38,35.4,53.61,coral,acclimation,PCOM,50,18.93,
3/7/26,22,24.726,11:17,8.16,-65,7.42,35.17,53.26,coral,acclimation,MCAP,50,18.93,
3/7/26,21,24.641,11:22,8.13,-63.1,7.33,35.27,53.39,coral,acclimation,MCAP,250,3.79,
3/7/26,20,24.726,11:25,8.14,-63.9,7.27,35.18,53.25,coral,acclimation,PMEA,100,9.46,
3/7/26,19,24.533,11:28,8.12,-62.7,7.07,35.22,53.32,coral,acclimation,PCOM,250,3.79,
3/7/26,18,24.536,11:29,8.13,-63.1,7.1,35.21,53.3,coral,acclimation,MIX,250,3.79,
3/7/26,17,24.766,11:32,8.14,-63.8,7.26,35.19,53.27,coral,acclimation,MCAP,300,3.15,
3/9/26,1,22.612,6:39,8.09,,6.86,,,,MONOA,,,,
3/9/26,2,21.962,6:41,8.09,,6.93,,,,6SP,,,,
3/9/26,3,22.72,6:43,8.11,,6.79,,,,MONOB,,,,
3/9/26,4,22.331,6:44,8.13,,6.96,,,,FAKEA,,,,
3/9/26,5,22.722,6:45,8.11,,6.86,,,,3SP,,,,
3/9/26,6,22.739,6:47,8.09,,6.82,,,,MONOA,,,,
3/9/26,7,22.941,6:49,8.13,,6.9,,,,FAKEA,,,,
3/9/26,8,22.558,6:50,8.13,,6.93,,,,FAKEB,,,,
3/9/26,9,22.304,6:51,8.1,,6.89,,,,3SP,,,,
3/9/26,10,22.728,6:53,8.11,,6.86,,,,MONOB,,,,
3/9/26,11,23.037,6:55,8.13,,6.89,,,,FAKEB,,,,
3/9/26,12,22.813,6:56,8.13,,6.92,,,,FAKEA,,,,
3/9/26,13,22.893,6:58,8.1,,6.86,,,,6SP,,,,
3/9/26,14,22.672,6:59,8.11,,6.88,,,,MONOB,,,,
3/9/26,15,22.574,7:01,8.13,,6.94,,,,FAKEB,,,,
3/9/26,16,22.418,7:02,8.1,,6.9,,,,6SP,,,,
3/9/26,17,22.819,7:05,8.12,,6.87,,,,FAKEB,,,,
3/9/26,18,22.67,7:06,8.1,,6.83,,,,MONOA,,,,
3/9/26,19,22.959,7:07,8.09,,6.83,,,,3SP,,,,
3/9/26,20,22.843,7:09,8.1,,6.81,,,,MONOA,,,,
3/9/26,21,22.888,7:10,8.1,,6.84,,,,MONOB,,,,
3/9/26,22,22.807,7:14,8.11,,6.89,,,,FAKEA,,,,
3/9/26,23,22.979,7:12,8.09,,6.81,,,,3SP,,,,
3/9/26,24,22.804,7:15,8.09,,6.8,,,,6SP,,,,
3/9/26,1,25.863,12:25,8.14,,7.2,,,,MONOA,,,,
3/9/26,2,25.668,12:27,8.14,,6.94,,,,6SP,,,,
3/9/26,3,25.617,12:29,8.13,,6.85,,,,MONOB,,,,
3/9/26,4,25.765,12:31,8.14,,6.77,,,,FAKEA,,,,
3/9/26,5,25.832,12:32,8.16,,7.11,,,,3SP,,,,
3/9/26,6,25.884,12:34,8.14,,7.07,,,,MONOA,,,,
3/9/26,7,26.193,12:35,8.13,,6.79,,,,FAKEA,,,,
3/9/26,8,25.759,12:37,8.14,,6.82,,,,FAKEB,,,,
3/9/26,9,26.163,12:39,8.14,,7.16,,,,3SP,,,,
3/9/26,10,26.063,12:41,8.14,,6.95,,,,MONOB,,,,
3/9/26,11,26.518,12:42,8.13,,6.78,,,,FAKEB,,,,
3/9/26,12,26.601,12:43,8.12,,6.68,,,,FAKEA,,,,
3/9/26,13,27,12:45,8.14,,6.87,,,,6SP,,,,
3/9/26,14,26.852,12:46,8.15,,6.91,,,,MONOB,,,,
3/9/26,15,26.613,12:47,8.14,,6.71,,,,FAKEB,,,,
3/9/26,16,26.014,12:48,8.15,,6.88,,,,6SP,,,,
3/9/26,17,26.391,12:51,8.18,,7.08,,,,FAKEB,,,,"algae, think 17-24 are higher bc more algae/stuff in the tanks"
3/9/26,18,26.39,12:52,8.17,,7.15,,,,MONOA,,,,
3/9/26,19,26.326,12:53,8.18,,7.26,,,,3SP,,,,
3/9/26,20,26.353,12:55,8.17,,7.22,,,,MONOA,,,,
3/9/26,21,26.71,12:56,8.17,,7.16,,,,MONOB,,,,
3/9/26,22,26.536,12:58,8.16,,7.08,,,,FAKEA,,,,
3/9/26,23,26.468,12:59,8.2,,7.45,,,,3SP,,,,
3/9/26,24,26.52,13:01,8.19,,7.34,,,,6SP,,,,
